job title,company name,location,skills,links
Accounting Director,NowPay -,"Giza, Giza, Egypt ",Full TimeSenior Management · 10+ Yrs of Exp · Accounting/Finance · Accounting · Financial Management · Oracle · SAP · Financial Reporting · Financial Analysis · Finance · ERP,https://wuzzuf.net/jobs/p/iWT0D4d7MgbJ-Accounting-Director-NowPay-Giza-Egypt?o=1&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,Travel Trails Tours -,"Haram, Giza, Egypt ",Full TimeManager · 4 - 6 Yrs of Exp · Accounting/Finance · Accounting · Financial Management · Accounting Software · Bookkeeping · Computer Skills · Finance · Financial Analysis · MS Office · Commerce,https://wuzzuf.net/jobs/p/3aa20kHkfWiC-Accounting-Manager-Travel-Trails-Tours-Giza-Egypt?o=2&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Supervisor,Eg Insurtech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · Accounting/Finance · Accounting · Accounting Supervisor · Financial Analysis · Finance · Accounting Software · Financial Management,https://wuzzuf.net/jobs/p/fGUDFvtg0Zi2-Accounting-Supervisor-Eg-Insurtech-Cairo-Egypt?o=3&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,Unitrans Global Logistics  -,"Sheraton, Cairo, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Accounting/Finance · Accounting Manager · Cash · Cost · Finance · Financial · Financial Analysis · Financial Management · Taxes · business,https://wuzzuf.net/jobs/p/dnRE9hUHr4KU-Accounting-Manager-Unitrans-Global-Logistics-Cairo-Egypt?o=4&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager - Alexandria,Confidential -,"Smouha, Alexandria, Egypt ",Full TimeManager · 10+ Yrs of Exp · Accounting/Finance · Operations/Management · Finance · Accounting · Financial Management · Financial Analysis · Cash Flow · CGA · CMA · CA,https://wuzzuf.net/jobs/p/JMC3nLjnNsUL-Accounting-Manager---Alexandria-Alexandria-Egypt?o=5&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Specialist,Milteks Egypt -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Accounting/Finance · Accounting · Account Management · Finance · Microsoft Office · Reporting · Financial · Financial Statements · Commerce · General Ledger,https://wuzzuf.net/jobs/p/utJEHbAbGFq0-Accounting-Specialist-Milteks-Egypt-Giza-Egypt?o=6&l=sp&t=sj&a=accounting|search-v3|hpb
Banks Accounting Accountant,Mantrac -,"Alexandria, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Banking · Accounting · Financial Analysis · Finance · Financial Management · Banking · Bank Accounting,https://wuzzuf.net/jobs/p/i2kPS6VEDUTq-Banks-Accounting-Accountant-Mantrac-Alexandria-Egypt?o=7&l=sp&t=sj&a=accounting|search-v3|hpb
Customer Support Representative - Commerce ( Accounting ),CompactSoft  -,"Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Accounting/Finance · Customer Service/Support · Commerce · Accounting · Customer Support · Customer Service,https://wuzzuf.net/jobs/p/h7wfQstqn8BV-Customer-Support-Representative---Commerce-Accounting-CompactSoft-Cairo-Egypt?o=8&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Intern,MODON Developments -,"Sheikh Zayed, Giza, Egypt ",InternshipEntry Level · Accounting/Finance · Accounting · Finance · Intern · English,https://wuzzuf.net/jobs/p/bg4K3yRKI357-Accounting-Intern-MODON-Developments-Giza-Egypt?o=9&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,Maxevia Corporate -,"Nasr City, Cairo, Egypt ",Full TimeManager · 7 - 10 Yrs of Exp · Accounting/Finance · Accounting · Cash Management · Financial Management · Retail · excel · Financial Analysis · Accounting Software · Management · Computer Skills,https://wuzzuf.net/jobs/p/6m1oK65O9MIx-Accounting-Manager-Maxevia-Corporate-Cairo-Egypt?o=10&l=sp&t=sj&a=accounting|search-v3|hpb
