job title,company name,location,skills,links
,,,,
HR Administrator (C&B),Ostool Transport -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · C&B · Microsoft Excel · Recruitment · Business Administration · Microsoft,https://wuzzuf.net/jobs/p/dG5FlKDDVaqi-HR-Administrator-CB-Ostool-Transport-Giza-Egypt?o=1&l=sp&t=sj&a=c|search-v3|hpb
,,,,
SAP C4C Consultant,Talaat Moustafa Group -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · Computer Science · SAP S/4HANA · S/4HANA · Engineering · Integration · UI,https://wuzzuf.net/jobs/p/5aPJTUWpY07n-SAP-C4C-Consultant-Talaat-Moustafa-Group-Giza-Egypt?o=2&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Hub B to C Specialist,Nacita -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Logistics/Supply Chain · Operations/Management · B2C · Customer Support · Supply Chain · Transportation,https://wuzzuf.net/jobs/p/dd9aJbQf1jdj-Hub-B-to-C-Specialist-Nacita-Giza-Egypt?o=3&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Hub B2C Supervisor,Nacita -,"Shubra, Cairo, Egypt ",Full TimeExperienced · 5 - 6 Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Sales/Retail · B2C · Microsoft Office · Negotiation · Communication skills · Leadership Management,https://wuzzuf.net/jobs/p/ttFelVm5c0yW-Hub-B2C-Supervisor-Nacita-Cairo-Egypt?o=4&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Senior/Lead Embedded C Developer - (Relocation To Croatia),GlobalLogic Croatia d.o.o.  -,"Zagreb, Croatia ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Programming · Object Oriented Programming · Software Engineering · Information Technology (IT) · Embedded System · Embedded C · Embedded Programming,https://wuzzuf.net/jobs/p/0jCElxaGEBOX-SeniorLead-Embedded-C-Developer---Relocation-To-Croatia-GlobalLogic-Zagreb-Croatia?o=5&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Key Account Manager (B2B / B2C),Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · FMCG · Sales · Business Administration · Sales Skills · Sales Target · POS · Food & Beverage,https://wuzzuf.net/jobs/p/d7geTtwv00Ay-Key-Account-Manager-B2B-B2C-Cairo-Egypt?o=6&l=sp&t=sj&a=c|search-v3|hpb
,,,,
