job title,company name,location,skills,links
Cashier,Confidential -,"Tanta, Gharbia, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Administration · Purchasing/Procurement · Cashier · Accounting · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/WMcruZQeOefR-Cashier-Gharbia-Egypt?o=1&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,Emaar  -,"Mokattam, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Accounting/Finance · Customer Service/Support · Cashier · Real Estate · Retail · Accounting · English · Arabic · Finance · Microsoft Office,https://wuzzuf.net/jobs/p/YxozyjxFnoOM-Cashier-Emaar-Cairo-Egypt?o=2&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier - New Cairo,XPRS -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · Accounting/Finance · Customer Service/Support · Accounting · Cashier · Commerce · Communication skills · English · Finance · Retail,https://wuzzuf.net/jobs/p/K5SWIn7X8znM-Cashier---New-Cairo-XPRS-Cairo-Egypt?o=3&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,Kasrawy Group -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Cashier,https://wuzzuf.net/jobs/p/sKjOhzYWPIoN-Cashier-Kasrawy-Group-Giza-Egypt?o=4&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier & Assistant Manager,Confidential -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Administration · Sales/Retail · Administration · Communication skills · Microsoft Office · Secretary · Skills · English,https://wuzzuf.net/jobs/p/XaPKiZzmhSrT-Cashier-Assistant-Manager-Cairo-Egypt?o=5&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,Drobina Stores -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Cashier,https://wuzzuf.net/jobs/p/PWS1vhRPrOiu-Cashier-Drobina-Stores-Cairo-Egypt?o=6&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,Sharaf DG -,"Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Sales/Retail · Cashier · Finance · Accounting · Commerce,https://wuzzuf.net/jobs/p/jVjvEMdZSDKT-Cashier-Sharaf-DG-Cairo-Egypt?o=7&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,FOUR Beauty Group -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Administration · Customer Service/Support · Cashier · Finance · Accounting,https://wuzzuf.net/jobs/p/9kbNLX9HVc0X-Cashier-FOUR-Beauty-Group-Cairo-Egypt?o=8&l=sp&t=sj&a=cashier|search-v3|hpb
Accountant Cashier,Rashideen Egypt for Trade  -,"Assiut, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · Accounting/Finance · Accounting · SAP · Cashier · Finance · excel · Financial Analysis,https://wuzzuf.net/jobs/p/TdPfgJWM2mA0-Accountant-Cashier-Rashideen-Egypt-for-Trade-Assiut-Egypt?o=9&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,Picks Supermarket -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Accounting/Finance · Operations/Management · cashier · Customer Service · Accounting · supermarket,https://wuzzuf.net/jobs/p/exG1l8yMyr02-Cashier-Picks-Supermarket-Cairo-Egypt?o=10&l=sp&t=sj&a=cashier|search-v3|hpb
Accountant (Cashier),Handicap International  -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Accounting/Finance · Finance · Accounting,https://wuzzuf.net/jobs/p/yYkw1hXivlYV-Accountant-Cashier-Handicap-International-Cairo-Egypt?o=11&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,Elabd Foods -,"Giza, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Accounting/Finance · Sales/Retail · Cashier · Commerce · Accounting · Finance,https://wuzzuf.net/jobs/p/i2zBMMUEk7pH-Cashier-Elabd-Foods-Giza-Egypt?o=12&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier - 10th of Ramadan,Obegi Chemicals -,"10th of Ramadan City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Finance · Cashiering · Arabic · Cashier · Commerce · Communication skills · English · ERP,https://wuzzuf.net/jobs/p/oudyV1aDUvDz-Cashier---10th-of-Ramadan-Obegi-Chemicals-Cairo-Egypt?o=13&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier Accountant,Elattal Holding  -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Commerce · Cashier · Real Estate · Financial Analysis,https://wuzzuf.net/jobs/p/Qx3Ei1L5WxFX-Cashier-Accountant-Elattal-Holding-Cairo-Egypt?o=14&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,El Saba Automotive -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Accounting/Finance · Accounting · Cashier · Commerce · Finance,https://wuzzuf.net/jobs/p/L0ddmvGCopOl-Cashier-El-Saba-Automotive-Cairo-Egypt?o=15&l=sp&t=sj&a=cashier|search-v3|hpb
Cashier,NATCO Mercedes-Benz -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · Customer Service/Support · Accounting · Cashier · Commerce · Communication skills · Finance · Arabic · English,https://wuzzuf.net/jobs/p/11AB0fRJ4XMx-Cashier-NATCO-Mercedes-Benz-Giza-Egypt?o=16&l=sp&t=sj&a=cashier|search-v3|hpb
Senior AR Accountant & Treasury,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · Accounting/Finance · Accounting · Finance · SAP user · Cash Handling · Cashiering · Cash Control · Commerce · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/HZJgTLqyDmS2-Senior-AR-Accountant-Treasury-Cairo-Egypt?o=17&l=sp&t=sj&a=cashier|search-v3|hpb
Accounts Payable Accountant,Confidential -,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Banking · Accounting Software · Accounts Payable · analytical · Finance · MS · English,https://wuzzuf.net/jobs/p/P4vKGY569zCQ-Accounts-Payable-Accountant-Alexandria-Egypt?o=18&l=sp&t=sj&a=cashier|search-v3|hpb
Senior Accountant,Confidential -,"Darrasa, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · Accounting · Finance · CMA · CPA · Financial Analysis · Financial Management · Commerce · Microsoft Office,https://wuzzuf.net/jobs/p/3wS4JEJpcZaj-Senior-Accountant-Cairo-Egypt?o=19&l=sp&t=sj&a=cashier|search-v3|hpb
Training & Development Supervisor,LC Waikiki -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Sales/Retail · Training/Instructor · Human Resources (HR) · Training Needs Analysis · Training · Human Resources Development · English · Education · Business Development,https://wuzzuf.net/jobs/p/tS9WztuOOUTI-Training-Development-Supervisor-LC-Waikiki-Cairo-Egypt?o=20&l=sp&t=sj&a=cashier|search-v3|hpb
Store Accountant,Seoudi Supermarket -,"Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Commerce · Finance · Financial Analysis · Accounting · Microsoft Excel,https://wuzzuf.net/jobs/p/uTOU1fv23WiC-Store-Accountant-Seoudi-Supermarket-Giza-Egypt?o=21&l=sp&t=sj&a=cashier|search-v3|hpb
Credit Risk Coordinator,INDEVCO -,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_preferred · Accounting/Finance · Commerce · Accounting · Finance · English · Risk Management · Banking,https://wuzzuf.net/jobs/p/vg1P3F597Rsv-Credit-Risk-Coordinator-INDEVCO-Giza-Egypt?o=22&l=sp&t=sj&a=cashier|search-v3|hpb
Assistant Store Manager - Stradivarius,Azadea Group -,"Madinaty, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Sales/Retail · Fashion · Customer Service · Customer Care · Customer Support · Store Management · Management · Microsoft Office · Sales,https://wuzzuf.net/jobs/p/HMPjXzKVa5bS-Assistant-Store-Manager---Stradivarius-Azadea-Group-Cairo-Egypt?o=23&l=sp&t=sj&a=cashier|search-v3|hpb
