job title,company name,location,skills,links
Executive Pastry Chef,Pink Garden -,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Chef · Kitchen · Pastry · Hospitality · Hotels · Management,https://wuzzuf.net/jobs/p/TcoLV4Ls7tic-Executive-Pastry-Chef-Pink-Garden-Giza-Egypt?o=1&l=sp&t=sj&a=chef|search-v3|hpb
Hospitality Manager-(Executive Chef),Confidential -,"Maadi, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Executive · Chef · Executive Chef · Food · Hospitality · Hotels · Leadership · Management,https://wuzzuf.net/jobs/p/fGJsITeZRPUT-Hospitality-Manager-Executive-Chef-Cairo-Egypt?o=2&l=sp&t=sj&a=chef|search-v3|hpb
Chef,Confidential -,"Jeddah, Saudi Arabia ",Full TimeExperienced · 3 - 5 Yrs of Exp · Hospitality/Hotels/Food Services · Chef · Hospitality · Hotels · Food,https://wuzzuf.net/jobs/p/ASheZy6zy7Jz-Chef-Jeddah-Saudi-Arabia?o=3&l=sp&t=sj&a=chef|search-v3|hpb
Sous Chef (Restuarant Chain) - Cairo Festival City CFC (Pastry),Pillars -,"Cairo, Egypt ",Full TimeExperienced · 6 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Cooking · Sous Chef · Chef,https://wuzzuf.net/jobs/p/iyfGeKtypiXS-Sous-Chef-Restuarant-Chain---Cairo-Festival-City-CFC-Pastry-Pillars-Cairo-Egypt?o=4&l=sp&t=sj&a=chef|search-v3|hpb
Pastry Chef (Restaurant Chain) - Cairo Festival City CFC,Pillars -,"Cairo, Egypt ",Full TimeExperienced · 8+ Yrs of Exp · Hospitality/Hotels/Food Services · Chef · Food · Hospitality · Pastry · Hotels,https://wuzzuf.net/jobs/p/s5h2tnVRtHmR-Pastry-Chef-Restaurant-Chain---Cairo-Festival-City-CFC-Pillars-Cairo-Egypt?o=5&l=sp&t=sj&a=chef|search-v3|hpb
Executive chef,Virgin Mary Families Dar -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · food and beverage · Chef · Cooking · Food · Hospitality · Hotels · Kitchen · Beverage,https://wuzzuf.net/jobs/p/SiXNoyhTlIAM-Executive-chef-Virgin-Mary-Families-Dar-Cairo-Egypt?o=6&l=sp&t=sj&a=chef|search-v3|hpb
Kitchen Manager,JOES -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Chef · Kitchen management · Hospitality · Food · Management · Kitchen · Food Production · Restaurant Management,https://wuzzuf.net/jobs/p/JbykusOsWn8U-Kitchen-Manager-JOES-Cairo-Egypt?o=7&l=sp&t=sj&a=chef|search-v3|hpb
Restaurant Manager,Taco Ring -,"Nasr City, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Branch Manager · Branch Management · restaurant · Hospitality · Restaurant Manager · Manager · Food Services · Cooking,https://wuzzuf.net/jobs/p/LCFdVK1I1bQe-Restaurant-Manager-Taco-Ring-Cairo-Egypt?o=8&l=sp&t=sj&a=chef|search-v3|hpb
Senior DevOps Engineer,CYSHIELD -,"Sheraton, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CI/CD · AWS · MySQL · Computer Science · Software Development · Information Technology (IT) · Python · SQL,https://wuzzuf.net/jobs/p/zO3F25xiOgrz-Senior-DevOps-Engineer-CYSHIELD-Cairo-Egypt?o=9&l=sp&t=sj&a=chef|search-v3|hpb
Devops Engineer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 1 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Development · Agile,https://wuzzuf.net/jobs/p/z2IIafg1IBcM-Devops-Engineer-Andela-Cairo-Egypt?o=10&l=sp&t=sj&a=chef|search-v3|hpb
