job title,company name,location,skills
Python Developer,FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Docker · AWS · Django · React.js · Angular · Software Development
Software QA/Automation Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance · Python · Software
Python Developer,Anspire Agency -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · API · Computer Science · Database · Cloud · Information Technology (IT) · OpenERP · PostgreSQL
Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Agile · Information Technology (IT) · JavaScript · MySQL · Software Development · Startup · Computer Science
Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Bash · Linux · PowerShell · Python · qemu · terraform · ansible
Senior Quality Automation Engineer [Python],FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance · IT · Python
Senior Python Engineer,Brainology -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · Engineering · Software Development
Senior Backend Developer (Python),Dafater -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Git · HTML · Information Technology (IT) · jQuery · MySQL
Senior Python Developer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python · Technical Support
Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript
Software Engineer (Python),Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Python · PHP · MySQL · JavaScript · JSON · Information Technology (IT) · HTML
Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AWS · SQL · backend · Cloud · TDD · APIs · Computer Science
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · RESTful APIs · Software Testing · Development · English · Information Technology (IT) · Framework · ORM
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT)
Python Django Developer,Support Legal -,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Django · Python · Software Development · PostgreSQL · Computer Science · Engineering · Git
