job title,company name,location,skills,links
Electrical Technical Office Engineer,Refaat Engineering CO. -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Design · AutoCAD · Electrical Engineering · Electrical · Microsoft Office · Software · technical · Technical Office · English,https://wuzzuf.net/jobs/p/IyZFMskUYiX3-Electrical-Technical-Office-Engineer-Refaat-Engineering-CO-Cairo-Egypt?o=1&l=sp&t=sj&a=engineer|search-v3|hpb
Junior Piping Engineer (Suez),Micro Engineering -,"Suez, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Engineering - Mechanical/Electrical · API · CAD · Engineering · Mechanical · Mechanical Engineering · Software Development · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/Qce9EmyNGF0N-Junior-Piping-Engineer-Suez-Micro-Engineering-Suez-Egypt?o=2&l=sp&t=sj&a=engineer|search-v3|hpb
Site Engineer - Mechanical Power (Boilers),Firoz Group -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Mechanical · Site Engineer · Electrical · Power · Mechanical Power · Mechanical Engineering,https://wuzzuf.net/jobs/p/5fINd3IhX2K4-Site-Engineer---Mechanical-Power-Boilers-Firoz-Group-Cairo-Egypt?o=3&l=sp&t=sj&a=engineer|search-v3|hpb
Cyber Security Engineer,axispay -,"Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Cyber Security · Computer Science · Microsoft Office · Security · Python · SIEM,https://wuzzuf.net/jobs/p/ShLb9eeWHeoZ-Cyber-Security-Engineer-axispay-Cairo-Egypt?o=4&l=sp&t=sj&a=engineer|search-v3|hpb
Engineering Manager,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations · Production · Project Management · Engineering · Project · Quality Control · Management · MSTM · MBA,https://wuzzuf.net/jobs/p/xa3Znh9i5Vup-Engineering-Manager-Sharqia-Egypt?o=5&l=sp&t=sj&a=engineer|search-v3|hpb
Site Engineer,Confidential -,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 2 - 2 Yrs of Exp · Engineering - Oil & Gas/Energy · Engineering · Site · CAD · Project · Communication Skills · Electrical · Site Engineer · English · Microsoft Office,https://wuzzuf.net/jobs/p/qWyPpLXM0O6v-Site-Engineer-Cairo-Egypt?o=6&l=sp&t=sj&a=engineer|search-v3|hpb
Senior Civil Engineer,CPV Arabia -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 5 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil Engineering · Civil · Construction · Engineering · Design · structural · Structural Design,https://wuzzuf.net/jobs/p/yvtqXkurhCMi-Senior-Civil-Engineer-CPV-Arabia-Riyadh-Saudi-Arabia?o=7&l=sp&t=sj&a=engineer|search-v3|hpb
Industrialization Engineer (Production) - Sheet Metal,Power Solutions -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Industrial Engineering · Mechanical Engineering · SolidWorks · AutoCAD · Sheet Metal · Engineering · Production · Mechanical,https://wuzzuf.net/jobs/p/4tmttbOzObes-Industrialization-Engineer-Production---Sheet-Metal-Power-Solutions-Giza-Egypt?o=8&l=sp&t=sj&a=engineer|search-v3|hpb
Civil Technical Office Engineer,Qawafil For Real Estate Investment -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Engineering - Mechanical/Electrical · Architecture · Architecture Engineering · Civil Engineering · AutoCAD · computer software · Engineering · Microsoft Office,https://wuzzuf.net/jobs/p/kNKGVhG4nybT-Civil-Technical-Office-Engineer-Qawafil-For-Real-Estate-Investment-Cairo-Egypt?o=9&l=sp&t=sj&a=engineer|search-v3|hpb
Architecture Technical Office Engineer,Qawafil For Real Estate Investment -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Architecture Engineering · AutoCAD · computer software · Construction · Engineering · Architecture · Microsoft Office · Site,https://wuzzuf.net/jobs/p/E7EMac8vr8nq-Architecture-Technical-Office-Engineer-Qawafil-For-Real-Estate-Investment-Cairo-Egypt?o=10&l=sp&t=sj&a=engineer|search-v3|hpb
Technical Office Engineer (Mechanical Design Engineer ) - Sheet Metal,Power Solutions -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · females_preferred · Creative/Design/Art · Engineering - Mechanical/Electrical · Industrial Engineering · Mechanical Engineering · SolidWorks · AutoCAD · Sheet Metal · Technical Office · Microsoft Office · Inventor,https://wuzzuf.net/jobs/p/1gYTg9kxPxmn-Technical-Office-Engineer-Mechanical-Design-Engineer---Sheet-Metal-Power-Solutions-Giza-Egypt?o=11&l=sp&t=sj&a=engineer|search-v3|hpb
