job title,company name,location,skills,links
English Teacher,Edu-Zone -,"Giza, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · Education/Teaching · Training/Instructor · Education · English Teaching · nurseries · English · Teaching,https://wuzzuf.net/jobs/p/tjo6xUiPyobs-English-Teacher-Edu-Zone-Giza-Egypt?o=1&l=sp&t=sj&a=english teacher|search-v3|hpb
Preschool Montessori English Teacher (Mivida Branch),Trillium Preschool -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Education/Teaching · Education · English · Preschool · Teaching · Communication skills,https://wuzzuf.net/jobs/p/pFD3WjPUwZ2d-Preschool-Montessori-English-Teacher-Mivida-Branch-Trillium-Preschool-Cairo-Egypt?o=2&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher,IVY -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · Education/Teaching · Training/Instructor · CELTA · English · Smart Boards · TEFL · Teaching · English Teaching,https://wuzzuf.net/jobs/p/U5Hjt50ZgLtH-English-Teacher-IVY-Cairo-Egypt?o=3&l=sp&t=sj&a=english teacher|search-v3|hpb
English teacher,New Generation International Schools  -,"Obour City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · English Teaching · Education · Teaching · English · School · Elementary · middle school · high school,https://wuzzuf.net/jobs/p/Cr8dILE4bMLP-English-teacher-New-Generation-International-Schools-Cairo-Egypt?o=4&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher - Alexandria,Egyptian English Language schools -,"Mandara, Alexandria, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Education · Teaching · English · English Teacher · Literature · Arts,https://wuzzuf.net/jobs/p/Bzr5UzZxU3e5-English-Teacher---Alexandria-Egyptian-English-Language-schools-Alexandria-Egypt?o=5&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher,Sparks preschool -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Classroom Management · English Teaching · Native · Education · children · american · Teaching,https://wuzzuf.net/jobs/p/YpbqwCXDHzXD-English-Teacher-Sparks-preschool-Cairo-Egypt?o=6&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher,Confidential -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Education/Teaching · English · Skills · Teaching · computer,https://wuzzuf.net/jobs/p/aEPFFSPxtN7s-English-Teacher-Cairo-Egypt?o=7&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher,Egyptian British International School -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Education · Teaching · Communication Skills · Science · English Teaching · English,https://wuzzuf.net/jobs/p/0Ht7mB20zsSg-English-Teacher-Egyptian-British-International-School-Cairo-Egypt?o=8&l=sp&t=sj&a=english teacher|search-v3|hpb
Co-Teacher,Malvern College Egypt -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Education/Teaching · Co-teacher · Education · English · learning · Teaching,https://wuzzuf.net/jobs/p/9Vr7j1maJDKc-Co-Teacher-Malvern-College-Egypt-Cairo-Egypt?o=9&l=sp&t=sj&a=english teacher|search-v3|hpb
IGCSE English Teacher,Tyro -,"Cairo, Egypt ",Freelance / ProjectEntry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor · Education · English · English Teaching · IGCSE · Instructor · Online Teaching · Teaching,https://wuzzuf.net/jobs/p/PjH1fGouFTJK-IGCSE-English-Teacher-Tyro-Cairo-Egypt?o=10&l=sp&t=sj&a=english teacher|search-v3|hpb
Primary English & Math Teacher,Europa Schule Neu Kairo -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Teaching · Bachelor · English Teaching · Math Teaching · Education · Primary,https://wuzzuf.net/jobs/p/sYgnMhELmYxw-Primary-English-Math-Teacher-Europa-Schule-Neu-Kairo-Cairo-Egypt?o=11&l=sp&t=sj&a=english teacher|search-v3|hpb
Art Teacher,Rizkallah Art Foundation -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · females_only · Creative/Design/Art · Education/Teaching · Teacher · Art · Design · Creative · Fine Arts · Applied Arts · Child Education · Education,https://wuzzuf.net/jobs/p/zK7j8PUKjFJ6-Art-Teacher-Rizkallah-Art-Foundation-Cairo-Egypt?o=12&l=sp&t=sj&a=english teacher|search-v3|hpb
Native Homeroom Teacher - Year 1,British Modern School -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · Homeroom · Teaching · Class Management · UK Cambridge Curriculum · Mathematics · English Teaching · English · International Schools,https://wuzzuf.net/jobs/p/UHTZt0pLpzvJ-Native-Homeroom-Teacher---Year-1-British-Modern-School-Cairo-Egypt?o=13&l=sp&t=sj&a=english teacher|search-v3|hpb
Art Teacher (2022-2023 Academic Year),Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Creative/Design/Art · Education/Teaching · Art · Education · Fine Arts · Teaching · English,https://wuzzuf.net/jobs/p/8S91kmhnDPQu-Art-Teacher-2022-2023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=14&l=sp&t=sj&a=english teacher|search-v3|hpb
Physical Education Teacher,Malvern College Egypt -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Sports and Leisure · Education/Teaching · Communication skills · Education · English · system · Teaching · teaching certificate,https://wuzzuf.net/jobs/p/WSF1hdfidTlo-Physical-Education-Teacher-Malvern-College-Egypt-Cairo-Egypt?o=15&l=sp&t=sj&a=english teacher|search-v3|hpb
Science Teacher - Year 6 Checkpoint,Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · Education/Teaching · Curriculum · Teaching · Science · Education · English · Physics · Communication skills,https://wuzzuf.net/jobs/p/YiynYYQcvl88-Science-Teacher---Year-6-Checkpoint-Windrose-Academy-Cairo-Egypt?o=16&l=sp&t=sj&a=english teacher|search-v3|hpb
Mathematics Teacher - KS2/KS3 (2022/2023 Academic Year),Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Cambridge Curriculum · Education · Teaching · Engineering · Mathematics · Microsoft Office · Math · Computer Skills · Smart Boards,https://wuzzuf.net/jobs/p/JOJ71EM5zftg-Mathematics-Teacher---KS2KS3-20222023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=17&l=sp&t=sj&a=english teacher|search-v3|hpb
Elementary Teacher,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Education · Teaching · English · English Teaching · Elementary · School,https://wuzzuf.net/jobs/p/k3NuQC1Y9pM0-Elementary-Teacher-Liwa-Education-Al-Ain-United-Arab-Emirates?o=18&l=sp&t=sj&a=english teacher|search-v3|hpb
Christian Religion Teacher,GEMS Education -,"Rehab City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · PYP · Teaching · English · Arabic · Christian religion · French Teaching · Education,https://wuzzuf.net/jobs/p/Zq2Hpbfdil4A-Christian-Religion-Teacher-GEMS-Education-Cairo-Egypt?o=19&l=sp&t=sj&a=english teacher|search-v3|hpb
Music Teacher (2022/2023 Academic Year),Windrose Academy -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · Education/Teaching · Music · Education · Teaching · Choir · School Choir · School · British School · Singing,https://wuzzuf.net/jobs/p/AZtMlSvcnIli-Music-Teacher-20222023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=20&l=sp&t=sj&a=english teacher|search-v3|hpb
Math Teacher,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Part TimeExperienced · 3 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · Mathematics · Teaching · Tutor · Instructor · Education · Math · English,https://wuzzuf.net/jobs/p/cWCw4pTY9ClH-Math-Teacher-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=21&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher,Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Education/Teaching · Teaching · Education · School · English · Microsoft Office · English Teaching,https://wuzzuf.net/jobs/p/vzxlRWoZmoCy-English-Teacher-Windrose-Academy-Cairo-Egypt?o=22&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher - Cairo ( Full Time).,Convrld -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Teaching · English · Education · Language Teaching · English Teaching · Online Teaching,https://wuzzuf.net/jobs/p/3U6GYBTUFHdk-English-Teacher---Cairo-Full-Time-Convrld-Giza-Egypt?o=23&l=sp&t=sj&a=english teacher|search-v3|hpb
Teacher/ Mentor,IQRA Network -,"Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Education/Teaching · Islamic · Quran · Teacher · Counselor · Schools · School Management · Arabic Teaching · Online Teaching · Teaching,https://wuzzuf.net/jobs/p/qvUfIMfptHan-Teacher-Mentor-IQRA-Network-Cairo-Egypt?o=24&l=sp&t=sj&a=english teacher|search-v3|hpb
English Teacher - British Section,Smart Language School -,"Tanta, Gharbia, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor · Communication skills · Education · Educational · English · English Teaching · Skills · Teacher · Teaching,https://wuzzuf.net/jobs/p/HDs7rZqzUml1-English-Teacher---British-Section-Smart-Language-School-Gharbia-Egypt?o=25&l=sp&t=sj&a=english teacher|search-v3|hpb
Pre-School English Teacher,Leap Development Hub -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Education/Teaching · Education · Teaching · Nursery · English · Nurseries · Pre School · Schools,https://wuzzuf.net/jobs/p/qMvd2vOAW8XV-Pre-School-English-Teacher-Leap-Development-Hub-Cairo-Egypt?o=26&l=sp&t=sj&a=english teacher|search-v3|hpb
Music Teacher,Prime International School -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Education · Music · Teaching · English · Communication Skills,https://wuzzuf.net/jobs/p/0rNhnRJFWSYs-Music-Teacher-Prime-International-School-Cairo-Egypt?o=27&l=sp&t=sj&a=english teacher|search-v3|hpb
Classroom Teacher/CoTeacher,Edu-Zone -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · Education/Teaching · Training/Instructor · Nursery · Education · School · Teaching · Co-teacher · English,https://wuzzuf.net/jobs/p/WzhxukyaR6VW-Classroom-TeacherCoTeacher-Edu-Zone-Giza-Egypt?o=28&l=sp&t=sj&a=english teacher|search-v3|hpb
French Teacher Assistant,Confidential -,"Glim, Alexandria, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Education/Teaching · french · Education · French Teaching · English · Teaching · Classroom Management,https://wuzzuf.net/jobs/p/hxQMQVelwF8x-French-Teacher-Assistant-Alexandria-Egypt?o=29&l=sp&t=sj&a=english teacher|search-v3|hpb
