job title,company name,location,skills,links
Game Programmer,Limbic Entertainment (Cairo Office) -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Unreal Engine · C++ · Game programming · Game development · UE4/5 · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/C8c8eseN702J-Game-Programmer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=1&l=sp&t=sj&a=gaming|search-v3|hpb
Paddle game coach,Eltakamol -,"Al Ahsa, Saudi Arabia ",Full TimeExperienced · 1 - 5 Yrs of Exp · males_only · Sports and Leisure · Paddle game coach · Game development,https://wuzzuf.net/jobs/p/ctTqbvPLISEw-Paddle-game-coach-Eltakamol-Al-Ahsa-Saudi-Arabia?o=2&l=sp&t=sj&a=gaming|search-v3|hpb
Economy Game Designer,Limbic Entertainment (Cairo Office) -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Creative/Design/Art · Game · Game design · Games,https://wuzzuf.net/jobs/p/ISsyP6ivs8G5-Economy-Game-Designer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=3&l=sp&t=sj&a=gaming|search-v3|hpb
Game Designer,Limbic Entertainment (Cairo Office) -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Creative/Design/Art · Game · Graphic Design · Creative · Design · Games,https://wuzzuf.net/jobs/p/vE7fH2HiWBZX-Game-Designer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=4&l=sp&t=sj&a=gaming|search-v3|hpb
Lead Game Designer,Limbic Entertainment (Cairo Office) -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 8+ Yrs of Exp · Creative/Design/Art · Game · Design · Game design · Games,https://wuzzuf.net/jobs/p/7GMh5yKCYBt6-Lead-Game-Designer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=5&l=sp&t=sj&a=gaming|search-v3|hpb
Gaming Sales Consultant,Gamers Lounge -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 0 - 2 Yrs of Exp · Sales/Retail · Sales · Proposal Writing · sales skills · interpersonal skills · Presentations · English · Coordinator · Administration · Sales Target,https://wuzzuf.net/jobs/p/n1luvUGVqyXk-Gaming-Sales-Consultant-Gamers-Lounge-Cairo-Egypt?o=6&l=sp&t=sj&a=gaming|search-v3|hpb
Unity Game Developer,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · mobile games · Unity 3D · unity developer · mobile game · Game · game developer · Software Development · Computer Engineering,https://wuzzuf.net/jobs/p/vnL6KB13NVTS-Unity-Game-Developer-Cairo-Egypt?o=7&l=sp&t=sj&a=gaming|search-v3|hpb
Unity Game Developer,Autsera Limited -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Unity · Software Development · Game Developer · Agile · Educational Games · Game · Game Studio · Information Technology (IT),https://wuzzuf.net/jobs/p/O0QMwOSRo3Xd-Unity-Game-Developer-Autsera-Limited-Giza-Egypt?o=8&l=sp&t=sj&a=gaming|search-v3|hpb
Gaming Broadcast Operator,Gamers Lounge -,"New Cairo, Cairo, Egypt ",Full TimeFreelance / ProjectEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Stream · Live · Gaming · E-Sports · Broadcasting · Game Spectator · Software Development,https://wuzzuf.net/jobs/p/6gsTWZfHwrUM-Gaming-Broadcast-Operator-Gamers-Lounge-Cairo-Egypt?o=9&l=sp&t=sj&a=gaming|search-v3|hpb
Graphic Designer / Game illustrator,iSchool -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · 2D · 3D · adobe · Adobe illustrator · Adobe Photoshop · Design · Graphic · Graphic Design · illustrator,https://wuzzuf.net/jobs/p/XuW6LJD9AuRs-Graphic-Designer-Game-illustrator-iSchool-Cairo-Egypt?o=10&l=sp&t=sj&a=gaming|search-v3|hpb
