job title,company name,location,skills,links
Payroll Specialist - HR,NEXtCARE -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · Human Resources · Compensation and Benefits · Employee Relations · HR Systems · MS Office · Payroll · Personnel · Human Resources (HR) · HR,https://wuzzuf.net/jobs/p/a53yN1gJRhLU-Payroll-Specialist---HR-NEXtCARE-Cairo-Egypt?o=1&l=sp&t=sj&a=hr|search-v3|hpb
HR Generalist,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Human Resources · HR generalist · Generalist · Human Resources (HR) · Microsoft Office · Recruitment · Personnel · HR Functions · Communication skills · Payroll,https://wuzzuf.net/jobs/p/e5Z8SEeo2vvH-HR-Generalist-Cairo-Egypt?o=2&l=sp&t=sj&a=hr|search-v3|hpb
Deputy HR Manager,Confidential -,"Maadi, Cairo, Egypt ",Full TimeManager · 7 - 10 Yrs of Exp · Human Resources · Operations/Management · business · English · Human Resources (HR) · Labor Law · Management · Microsoft Office · HR · OD,https://wuzzuf.net/jobs/p/ODuH24BdyTYF-Deputy-HR-Manager-Cairo-Egypt?o=3&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,Daily EDI -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · females_only · Human Resources · Communication · HR Specialist · Microsoft Office · Recruitment · Payroll · Personnel,https://wuzzuf.net/jobs/p/tmTY8Orv2Juq-HR-Specialist-Daily-EDI-Cairo-Egypt?o=4&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Human Resources · Business Administration · Human Resources (HR) · Recruitment · Screening · Interviewing · Communication · HR · Human Resources · Management,https://wuzzuf.net/jobs/p/xVqpzheIAaAY-HR-Specialist-Cairo-Egypt?o=5&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,Alfa Electronics -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Human Resources · Communication skills · English · HR · Microsoft Office · Personnel · Recruitment · Human Resources (HR),https://wuzzuf.net/jobs/p/751N6kvbKSQi-HR-Specialist-Alfa-Electronics-Cairo-Egypt?o=6&l=sp&t=sj&a=hr|search-v3|hpb
Site HR Generalist, Cairo Three A  Poultry -,"Bahariya Oasis, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Human Resources · Recruitment · Human Resources (HR) · Manufacturing · FMCG · Personnel · Microsoft Office · HR · Communication Skills · Hiring,https://wuzzuf.net/jobs/p/pJwtLzi8ndlQ-Site-HR-Generalist-Cairo-Three-A-Poultry-Giza-Egypt?o=7&l=sp&t=sj&a=hr|search-v3|hpb
HR Manager (Contracting),AlGammal Contracting -,"Sheraton, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Administration · Human Resources · Operations/Management · Human Resources (HR) · Personnel · Hr manager · HR · Manager · Microsoft Office · Recruitment,https://wuzzuf.net/jobs/p/waktQBFaM4TU-HR-Manager-Contracting-AlGammal-Contracting-Cairo-Egypt?o=8&l=sp&t=sj&a=hr|search-v3|hpb
HR Coordinator,Target Recruitment  & HR Solutions  -,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Human Resources · Human Resources (HR) · business · Finance · English · Recruitment · Administration,https://wuzzuf.net/jobs/p/OkYeIPbEMgIB-HR-Coordinator-Target-Recruitment-HR-Solutions-Alexandria-Egypt?o=9&l=sp&t=sj&a=hr|search-v3|hpb
HR Administrator,Hyundai Rotem -,"Salam City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · Administration · HR Policies · Labor Laws · Training · HR Administrator · Compensation · Benefits,https://wuzzuf.net/jobs/p/N88x3ZrSPX2F-HR-Administrator-Hyundai-Rotem-Cairo-Egypt?o=10&l=sp&t=sj&a=hr|search-v3|hpb
