job title,company name,location,skills,links
Senior Java Spring Developer,UnitLabs -,"Mohandessin, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Java · Java Development · Spring · Hibernate,https://wuzzuf.net/jobs/p/m38tf5T13yYr-Senior-Java-Spring-Developer-UnitLabs-Giza-Egypt?o=1&l=sp&t=sj&a=java developer|search-v3|hpb
Mid-Level Java Developer - Cairo,UNITED OFOQ -,"Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Java · Software Development · Engineering · Software Engineering · RESTful · Mssql,https://wuzzuf.net/jobs/p/CPWjimQCPRa5-Mid-Level-Java-Developer---Cairo-UNITED-OFOQ-Cairo-Egypt?o=2&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,RawafedTech -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring · Software Engineering · Software Development · Computer Science · developer · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/VbfyfKKtaOZE-Senior-Java-Developer-RawafedTech-Cairo-Egypt?o=3&l=sp&t=sj&a=java developer|search-v3|hpb
Java Developer,CYSHIELD -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · java · Software Development · Java Software Development · backend developer · Computer Science · Information Technology (IT) · Java EE,https://wuzzuf.net/jobs/p/n9MkKCDAkAyz-Java-Developer-CYSHIELD-Cairo-Egypt?o=4&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,Fawry Banking & Payment Technology Services -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets,https://wuzzuf.net/jobs/p/RQBwxEwzLaNC-Senior-Java-Developer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=5&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Software Java Developer (J2EE),ITS  -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · J2EE · Java · Java Development · Hibernate · EJB · JPA,https://wuzzuf.net/jobs/p/4oGmiiX8VYE5-Senior-Software-Java-Developer-J2EE-ITS-Cairo-Egypt?o=6&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,eVision -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Information Technology (IT) · Computer Science · Software Development · SQL · J2EE · Jira · Information Technology,https://wuzzuf.net/jobs/p/W1eZVWOBILSh-Senior-Java-Developer-eVision-Cairo-Egypt?o=7&l=sp&t=sj&a=java developer|search-v3|hpb
Junior Java Developer,Onecard -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Java · javaScript · Linux · HTML · J2EE · Hibernate,https://wuzzuf.net/jobs/p/ml43xghGzbtL-Junior-Java-Developer-Onecard-Cairo-Egypt?o=8&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,Onecard -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Java · javaScript · HTML · UML · JSP · J2EE,https://wuzzuf.net/jobs/p/OakjhCPGDBN0-Senior-Java-Developer-Onecard-Cairo-Egypt?o=9&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,Ejada (Cairo) -,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · J2EE · Java · MVC · Spring · Design · Hibernate Framework · Spring MVC · MVC Architecture,https://wuzzuf.net/jobs/p/bHNXNtSrCA6c-Senior Java Developer-Ejada-Cairo-Cairo-Egypt?o=10&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer / Microservices,Advansys ESC -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Computer Science · Software Development · Microservices · English · Information Technology (IT) · Science · Agile,https://wuzzuf.net/jobs/p/6Q4RypGFhCDW-Senior-Java-Developer-Microservices-Advansys-ESC-Cairo-Egypt?o=11&l=sp&t=sj&a=java developer|search-v3|hpb
Java Fullstack Developer,Advansys ESC -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · HTML · Java · Js · Science · Software Development · English,https://wuzzuf.net/jobs/p/cYRPkwuuXg89-Java-Fullstack-Developer-Advansys-ESC-Cairo-Egypt?o=12&l=sp&t=sj&a=java developer|search-v3|hpb
Junior Java Developer,STC Solutions - Egypt -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · NoSQL · Spring Boot · Spring · Software Development · Information Technology (IT) · MySQL · NoSQL Database,https://wuzzuf.net/jobs/p/mDPYqqRPXhtq-Junior-Java-Developer-STC-Solutions---Egypt-Cairo-Egypt?o=13&l=sp&t=sj&a=java developer|search-v3|hpb
Java Developer,Fawry Banking & Payment Technology Services -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets,https://wuzzuf.net/jobs/p/BGGHY0xl5aUx-Java-Developer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=14&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,DBS -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Information Technology (IT) · Java · Software · Programming · Computer Engineering · Computer Science · Software Development,https://wuzzuf.net/jobs/p/Q3yxspihIFUh-Senior-Java-Developer-DBS-Cairo-Egypt?o=15&l=sp&t=sj&a=java developer|search-v3|hpb
Java Developer (Cairo),Informatique Education -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · Java · OOP · Software Development · Angular · Engineering,https://wuzzuf.net/jobs/p/9vpK0I6giPr2-Java-Developer-Cairo-Informatique-Education-Cairo-Egypt?o=16&l=sp&t=sj&a=java developer|search-v3|hpb
Java Developer,Beshara -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Software Development · Web Development · Oracle · Agile · CSS,https://wuzzuf.net/jobs/p/Am1Vsj6oJl7Z-Java-Developer-Beshara-Cairo-Egypt?o=17&l=sp&t=sj&a=java developer|search-v3|hpb
Sr. Java Developer,Advansys ESC -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Javadeveloper · SeniorJavaDeveloper · Node.js · MongoDB · J2EE · SQL · NoSQL,https://wuzzuf.net/jobs/p/vhzVRNGM9lRU-Sr-Java-Developer-Advansys-ESC-Cairo-Egypt?o=18&l=sp&t=sj&a=java developer|search-v3|hpb
Java Software Development Engineer (Multinational),Pillars -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java Software Development · SQL · jQuery · CSS · DFX · Software Development,https://wuzzuf.net/jobs/p/3LiTQ4jJdkVg-Java-Software-Development-Engineer-Multinational-Pillars-Cairo-Egypt?o=19&l=sp&t=sj&a=java developer|search-v3|hpb
Sr Java Developer,siParadigm Egypt -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java Developer · Java · developer · Computer Science · Information Technology (IT) · J2ee · JSF · Linux,https://wuzzuf.net/jobs/p/nzEiI796zCUR-Sr-Java-Developer-siParadigm-Egypt-Cairo-Egypt?o=20&l=sp&t=sj&a=java developer|search-v3|hpb
Senior Java Developer,Satra -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java Software Development · spring Framework · Spring Boot · OOP · SQL · AWS · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/Cdz6mFGHmD0P-Senior-Java-Developer-Satra-Cairo-Egypt?o=21&l=sp&t=sj&a=java developer|search-v3|hpb
Java Developer,axispay -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Engineering · Engineering · Agile · XML · Information Technology (IT) · Java · Software Development,https://wuzzuf.net/jobs/p/qjLbWJ4W6clO-Java-Developer-axispay-Cairo-Egypt?o=22&l=sp&t=sj&a=java developer|search-v3|hpb
Spring Java Developer,Hitop -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring · Software Development · SQL · Software · MySQL · MVC · Information Technology (IT),https://wuzzuf.net/jobs/p/nof6vH46dlJZ-Spring-Java-Developer-Hitop-Cairo-Egypt?o=23&l=sp&t=sj&a=java developer|search-v3|hpb
