job title,company name,location,skills,links
Java Developer,IST Networks -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · English · Information Technology (IT) · Java · Java SE · MySQL,https://wuzzuf.net/jobs/p/5y3lRkVGpsYL-Java-Developer-IST-Networks-Giza-Egypt?o=1&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,IMS -,"Rehab City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Java · Spring · Git · Java EE · Software Engineering · Database · Engineering,https://wuzzuf.net/jobs/p/O1WKSx4brUQ9-Senior-Java-Developer-IMS-Cairo-Egypt?o=2&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Spring Developer,UnitLabs -,"Mohandessin, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Java · Java Development · Spring · Hibernate,https://wuzzuf.net/jobs/p/m38tf5T13yYr-Senior-Java-Spring-Developer-UnitLabs-Giza-Egypt?o=3&l=sp&t=sj&a=java|search-v3|hpb
Mid-Level Java Developer - Cairo,UNITED OFOQ -,"Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Java · Software Development · Engineering · Software Engineering · RESTful · Mssql,https://wuzzuf.net/jobs/p/CPWjimQCPRa5-Mid-Level-Java-Developer---Cairo-UNITED-OFOQ-Cairo-Egypt?o=4&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,RawafedTech -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring · Software Engineering · Software Development · Computer Science · developer · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/VbfyfKKtaOZE-Senior-Java-Developer-RawafedTech-Cairo-Egypt?o=5&l=sp&t=sj&a=java|search-v3|hpb
Senior Software Engineer-Java,ITWORX -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring · Java Development · Computer Science · Information Technology (IT) · Software Engineering · Software Development · SQL,https://wuzzuf.net/jobs/p/rvXzQJCZtZRN-Senior-Software-Engineer-Java-ITWORX-Cairo-Egypt?o=6&l=sp&t=sj&a=java|search-v3|hpb
Java Team Lead,Fawry Banking & Payment Technology Services -,"Giza, Egypt ",Full TimeManager · 6 - 8 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Java · Management · Azure · Java Jee · ORM · SQL · Angular,https://wuzzuf.net/jobs/p/HEKQk67zY3bq-Java-Team-Lead-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=7&l=sp&t=sj&a=java|search-v3|hpb
Lead Software Engineer (Java & Python),GoTrah -,"Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Information Technology (IT) · JavaScript · Java · OOP · Programming · Git,https://wuzzuf.net/jobs/p/8uZ16gX9prBQ-Lead-Software-Engineer-Java-Python-GoTrah-Cairo-Egypt?o=8&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,CYSHIELD -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · java · Software Development · Java Software Development · backend developer · Computer Science · Information Technology (IT) · Java EE,https://wuzzuf.net/jobs/p/n9MkKCDAkAyz-Java-Developer-CYSHIELD-Cairo-Egypt?o=9&l=sp&t=sj&a=java|search-v3|hpb
Java Architect,Ejada (Cairo) -,"Cairo, Egypt ",Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · J2EE · REST · REST webservices · Computer Engineering · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/F82F3f2232y3-Java-Architect-Ejada-Cairo-Cairo-Egypt?o=10&l=sp&t=sj&a=java|search-v3|hpb
Java Team Leader,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Java · OOP · Computer Science · Development · Spring Boot · spring Framework · SOAP,https://wuzzuf.net/jobs/p/2kMecB9YAAX7-Java-Team-Leader-Egabi-FSI-Cairo-Egypt?o=11&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,Fawry Banking & Payment Technology Services -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets,https://wuzzuf.net/jobs/p/RQBwxEwzLaNC-Senior-Java-Developer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=12&l=sp&t=sj&a=java|search-v3|hpb
Senior Software Java Developer (J2EE),ITS  -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · J2EE · Java · Java Development · Hibernate · EJB · JPA,https://wuzzuf.net/jobs/p/4oGmiiX8VYE5-Senior-Software-Java-Developer-J2EE-ITS-Cairo-Egypt?o=13&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,eVision -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Information Technology (IT) · Computer Science · Software Development · SQL · J2EE · Jira · Information Technology,https://wuzzuf.net/jobs/p/W1eZVWOBILSh-Senior-Java-Developer-eVision-Cairo-Egypt?o=14&l=sp&t=sj&a=java|search-v3|hpb
Full stack Java Developer,Zewail City -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · API · CSS · Development · Information Technology (IT) · MySQL · React,https://wuzzuf.net/jobs/p/GtstAXe9GHYq-Full-stack-Java-Developer-Zewail-City-Giza-Egypt?o=15&l=sp&t=sj&a=java|search-v3|hpb
