job title,company name,location,skills,links
,,,,
"Senior Software Engineer (JavaScript, C#, ASP.Net and SQL Server)",Confidential -,"Dallas, United States ",Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · SaaS · .Net · ASP.Net · JavaScript,https://wuzzuf.net/jobs/p/fTZi3nfg7SqE-Senior-Software-Engineer-JavaScript-C-ASPNet-and-SQL-Server-Dallas-United-States?o=1&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Javascript Developer with Google Polymer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Redux · Software Development · Web · CSS3 · HTML5 · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/nhN5s9kfNKmL-Javascript-Developer-with-Google-Polymer-GetTechForce-com-Cairo-Egypt?o=2&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Senior JavaScript & TypeScript Developer,Split-E -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · WebGL · JavaScript · Programming · Typescript · Software Development · Software · Computer Science · Development,https://wuzzuf.net/jobs/p/yfhvBgf889xa-Senior-JavaScript-TypeScript-Developer-Split-E-Cairo-Egypt?o=3&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Javascript Developer - Alexa Voice Apps & More, ProfileTree -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Amazon · Software Development · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/5B1H83kAcPZw-Javascript-Developer---Alexa-Voice-Apps-More-ProfileTree-Cairo-Egypt?o=4&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Senior JavaScript Developer,Centro CDX -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Angular · JavaScript · React · Vue.js · Node.js · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/eWOpzJHjf855-Senior-JavaScript-Developer-Centro-CDX-Cairo-Egypt?o=5&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
