job title,company name,location,skills,links
Senior Machine Learning Engineer,Nana -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Machine Learning · Python · JavaScript · r · Computer Science · Information Technology (IT) · Mathematics,https://wuzzuf.net/jobs/p/faQnVZ9r9Ght-Senior-Machine-Learning-Engineer-Nana-Cairo-Egypt?o=1&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Machine Learning Engineer - Giza,AFKAR Technology -,"Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · SQL · Python · TensorFlow · Training · Statistics · Programming · NLP,https://wuzzuf.net/jobs/p/Cp1Y9BFgCAws-Senior-Machine-Learning-Engineer---Giza-AFKAR-Technology-Giza-Egypt?o=2&l=sp&t=sj&a=machine learning|search-v3|hpb
Machine Learning Interns,Corporatica -,"Cairo, Egypt ",InternshipStudent · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Machine Learning · Python · Linux · OpenCV · Keras · Algorithms · Git,https://wuzzuf.net/jobs/p/OY5G4SY02zA4-Machine-Learning-Interns-Corporatica-Cairo-Egypt?o=3&l=sp&t=sj&a=machine learning|search-v3|hpb
Machine Learning Intern,Talents Arena -,"Smart Village, Giza, Egypt ",InternshipStudent · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Algorithms · Information Technology (IT) · Machine Learning · Python · Software · technical · Computer Science,https://wuzzuf.net/jobs/p/fHaaAE6800my-Machine-Learning-Intern-Talents-Arena-Giza-Egypt?o=4&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Data Engineer,Kalasko -,"Hurghada, Red Sea, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Information Technology (IT) · Data Engineering · Git · SQL · DevOps · Azure · AWS,https://wuzzuf.net/jobs/p/9pa35ndrMocC-Senior-Data-Engineer-Kalasko-Red-Sea-Egypt?o=5&l=sp&t=sj&a=machine learning|search-v3|hpb
AI Engineer,GAP CLOUD -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Artificial Intelligence · Big Data · Machine Learning · Algorithms · Engineering · Information Technology (IT) · Programming · Design,https://wuzzuf.net/jobs/p/lTdzKqToxWta-AI-Engineer-GAP-CLOUD-Cairo-Egypt?o=6&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics -,"Berlin, Germany ",Full TimeWork From HomeExperienced · 4 - 12 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Data Science · Python · SQL · Data · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=7&l=sp&t=sj&a=machine learning|search-v3|hpb
MLOPS / DEVOPS Engineer,GAP CLOUD -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Agile · Machine Learning · Code · Communication · Communication skills · Devops Engineer · Information Technology (IT),https://wuzzuf.net/jobs/p/t8IvjSr3mCsh-MLOPS-DEVOPS-Engineer-GAP-CLOUD-Cairo-Egypt?o=8&l=sp&t=sj&a=machine learning|search-v3|hpb
AI Specialist (on-site),Union Coop -,"Dokki, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Machine Learning · Data Science,https://wuzzuf.net/jobs/p/GbI5U5o6xh3Y-AI-Specialist-on-site-Union-Coop-Giza-Egypt?o=9&l=sp&t=sj&a=machine learning|search-v3|hpb
NLP Engineer,Tahaluf Al Emarat Technical Solutions -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · NLP · ML · Machine Learning · Data Science · Python · TensorFlow · NumPy,https://wuzzuf.net/jobs/p/EfZo2CfXaON8-NLP-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=10&l=sp&t=sj&a=machine learning|search-v3|hpb
Data Scientist,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Data · data scientist · Information Technology (IT) · AWS · Machine Learning,https://wuzzuf.net/jobs/p/0jGn5OM1ogU7-Data-Scientist-Paymob-Solutions-Cairo-Egypt?o=11&l=sp&t=sj&a=machine learning|search-v3|hpb
Machine Tools & CNC Sales Engineer,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · CNC · Engineering · Mechanical · Sales · technical · English · CNC Machine · Mechanical Engineering,https://wuzzuf.net/jobs/p/JUw4afmnYdVb-Machine-Tools-CNC-Sales-Engineer-Cairo-Egypt?o=12&l=sp&t=sj&a=machine learning|search-v3|hpb
Data Scientist,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Computer Science · Data Science · data scientist · Engineering · Information Technology (IT) · Java · Machine Learning,https://wuzzuf.net/jobs/p/rkQ7JHkEd4ke-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=13&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Data Scientist,Nana -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Python · R · data scientist · Computer Science · Cloud · Software Development,https://wuzzuf.net/jobs/p/VNMH2hByeVW8-Senior-Data-Scientist-Nana-Cairo-Egypt?o=14&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Computer Vision Engineer,Tech SquAd -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Vision · Machine Learning · Deep Learning · Algorithms · Information Technology (IT) · Software Engineering · Engineering · Computer Science,https://wuzzuf.net/jobs/p/iE8vtw4pEoPr-Senior-Computer-Vision-Engineer-Tech-SquAd-Giza-Egypt?o=15&l=sp&t=sj&a=machine learning|search-v3|hpb
job title,company name,location,skills,links
