job title,company name,location,skills,links
Math Teacher - Part time - Remotely,Dimensions  -,"Cairo, Egypt ",Part TimeWork From HomeExperienced · 8+ Yrs of Exp · Education/Teaching · Teaching · Education · Mathematics · Math · International School,https://wuzzuf.net/jobs/p/LrLYrV55kIbj-Math-Teacher---Part-time---Remotely-Dimensions-Cairo-Egypt?o=1&l=sp&t=sj&a=math teacher|search-v3|hpb
Math Teacher,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Part TimeExperienced · 3 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · Mathematics · Teaching · Tutor · Instructor · Education · Math · English,https://wuzzuf.net/jobs/p/cWCw4pTY9ClH-Math-Teacher-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=2&l=sp&t=sj&a=math teacher|search-v3|hpb
Primary English & Math Teacher,Europa Schule Neu Kairo -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Teaching · Bachelor · English Teaching · Math Teaching · Education · Primary,https://wuzzuf.net/jobs/p/sYgnMhELmYxw-Primary-English-Math-Teacher-Europa-Schule-Neu-Kairo-Cairo-Egypt?o=3&l=sp&t=sj&a=math teacher|search-v3|hpb
Math Teacher - British Section,Smart Language School -,"Tanta, Gharbia, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · R&D/Science · Education/Teaching · Training/Instructor · Math · Education · Mathematics · English · Teaching,https://wuzzuf.net/jobs/p/YbApAHTJyMTJ-Math-Teacher---British-Section-Smart-Language-School-Gharbia-Egypt?o=4&l=sp&t=sj&a=math teacher|search-v3|hpb
Mathematics Teacher - 10th of Ramadan City,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Math · Education · SAT · Core State Standards · Mathematics · Teacher · Teaching · American diploma · Computer Skills,https://wuzzuf.net/jobs/p/NQSDfh5tdlK8-Mathematics-Teacher---10th-of-Ramadan-City-El-Massria-Integrated-Schools-Sharqia-Egypt?o=5&l=sp&t=sj&a=math teacher|search-v3|hpb
Mathematics Teachers - Primary & Middle School/High School (French Speaker) - School Year 2022-2023,Groupe Oasis Scolaire -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Teaching · Education · Math · MYP · French · English,https://wuzzuf.net/jobs/p/13Nji9Ne3OYI-Mathematics-Teachers---Primary-Middle-SchoolHigh-School-French-Speaker---School-Year-2022-2023-Groupe-Oasis-Scolaire-Cairo-Egypt?o=6&l=sp&t=sj&a=math teacher|search-v3|hpb
Mathematics Teacher - KS2/KS3 (2022/2023 Academic Year),Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Cambridge Curriculum · Education · Teaching · Engineering · Mathematics · Microsoft Office · Math · Computer Skills · Smart Boards,https://wuzzuf.net/jobs/p/JOJ71EM5zftg-Mathematics-Teacher---KS2KS3-20222023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=7&l=sp&t=sj&a=math teacher|search-v3|hpb
Math teacher DP1 HL,Nefertari International School -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Education · Homeroom · Teacher · Maths · Ethics · School · Classroom · Students · Teaching,https://wuzzuf.net/jobs/p/cdSKtDfxYiRL-Math-teacher-DP1-HL-Nefertari-International-School-Cairo-Egypt?o=8&l=sp&t=sj&a=math teacher|search-v3|hpb
British Curriculum Math Teacher / Cairo,Tyro -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeEntry Level · 1+ Yrs of Exp · Education/Teaching · British Curriculum · Education · Mathematics · Math · middle school · School · Teaching · Online Education · Online Teaching,https://wuzzuf.net/jobs/p/CtL9vckgWMoW-British-Curriculum-Math-Teacher-Cairo-Tyro-Cairo-Egypt?o=9&l=sp&t=sj&a=math teacher|search-v3|hpb
KG Class Teacher,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Teaching · Education · Communication Skills · KG · English · kindergarten · Kg teacher · Teacher · Math,https://wuzzuf.net/jobs/p/p4H9A0sWtdxB-KG-Class-Teacher-El-Massria-Integrated-Schools-Sharqia-Egypt?o=10&l=sp&t=sj&a=math teacher|search-v3|hpb
All Subject Teacher,Creatives International Schools ( CIS ) -,"Sharqia, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Education/Teaching · Curriculum Development · Education · Teaching · English · Maths · Science · Artwork,https://wuzzuf.net/jobs/p/HonuZL1wpvH7-All-Subject-Teacher-Creatives-International-Schools-CIS-Sharqia-Egypt?o=11&l=sp&t=sj&a=math teacher|search-v3|hpb
