job title,company name,location,skills,links
Senior Mechanical Engineer (Site-Technical Office),TELETEC GLOBAL CONTRACTORS -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Project · Site Engineering · English · CAD · AutoCAD · Project Management · Mechanical Engineering · Mechanical,https://wuzzuf.net/jobs/p/sCYdkuK6WcsM-Senior-Mechanical-Engineer-Site-Technical-Office-TELETEC-GLOBAL-CONTRACTORS-Giza-Egypt?o=1&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Design Engineer - Electrical Panel Manufacturer,Chint Egemac -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Engineering - Mechanical/Electrical · AutoCAD · CAD · Mechanical Engineering · SolidWorks · Electrical Engineering · Low Voltage · Chinese · Electrical Design,https://wuzzuf.net/jobs/p/stEYdgOPllqb-Mechanical-Design-Engineer---Electrical-Panel-Manufacturer-Chint-Egemac-Giza-Egypt?o=2&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Senior Mechanical Engineer,SNC-Lavalin Egypt -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 10 - 15 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Mechanical · DCP · HVAC · Firefighting · Plumbing system · English · Mechanical Engineering,https://wuzzuf.net/jobs/p/N4WhiUbZE1Hl-Senior-Mechanical-Engineer-SNC-Lavalin-Egypt-Cairo-Egypt?o=3&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Technical Office Engineer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Engineering - Mechanical/Electrical · Technical Office · Engineering · Project Management · Contract Submittals · AutoCAD · Communication · Communication skills · Mechanical Engineering · Power,https://wuzzuf.net/jobs/p/yxGSmjHvi6ef-Mechanical-Technical-Office-Engineer-Cairo-Egypt?o=4&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Technical Sales Engineer (Arch /Civil / Mechanical),caliteck  -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical · Production · Engineering · Mechanical · Sales · English · Sales Target · Customer Service,https://wuzzuf.net/jobs/p/2Ln1DB2el9fV-Technical-Sales-Engineer-Arch-Civil-Mechanical-caliteck-Cairo-Egypt?o=5&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Site Engineer,Mahgoub Group -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · HVAC · Fire Fighting · Mechanical Power · Power · English · AutoCAD · Mechanical,https://wuzzuf.net/jobs/p/N1WaiVvhq4T1-Mechanical-Site-Engineer-Mahgoub-Group-Cairo-Egypt?o=6&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Site Engineer - Waste Heat Recovery Project,Suez Cement – Heidelberg Cement -,"Helwan, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 10+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Site Engineering · English · Project · Project Management · Installation · Maintenance · Engineering,https://wuzzuf.net/jobs/p/APpErKCx4Gol-Mechanical-Site-Engineer---Waste-Heat-Recovery-Project-Suez-Cement-–-Heidelberg-Cement-Cairo-Egypt?o=7&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Site Engineer - Mechanical Power (Boilers),Firoz Group -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Mechanical · Site Engineer · Electrical · Power · Mechanical Power · Mechanical Engineering,https://wuzzuf.net/jobs/p/5fINd3IhX2K4-Site-Engineer---Mechanical-Power-Boilers-Firoz-Group-Cairo-Egypt?o=8&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Technical Office Engineer (Mechanical Design Engineer ) - Sheet Metal,Power Solutions -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · females_preferred · Creative/Design/Art · Engineering - Mechanical/Electrical · Industrial Engineering · Mechanical Engineering · SolidWorks · AutoCAD · Sheet Metal · Technical Office · Microsoft Office · Inventor,https://wuzzuf.net/jobs/p/1gYTg9kxPxmn-Technical-Office-Engineer-Mechanical-Design-Engineer---Sheet-Metal-Power-Solutions-Giza-Egypt?o=9&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical / Electrical - Site Engineer,Gama Construction -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical Engineering · Mechanical Engineering · Mechanical · Electrical · Microsoft Office · English,https://wuzzuf.net/jobs/p/s6Vr8O0RIZl1-Mechanical-Electrical---Site-Engineer-Gama-Construction-Cairo-Egypt?o=10&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Engineer (Workshop),El-Soadaa Group -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Mechanical · Workshop,https://wuzzuf.net/jobs/p/qa9YbTC5Mkie-Mechanical-Engineer-Workshop-El-Soadaa-Group-Cairo-Egypt?o=11&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
