job title,company name,location,skills,links
Dental Clinic Nurse - 6th of october,Flow dental clinic   -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · females_only · Customer Service/Support · Medical/Healthcare · Dental · Clinic · Admin · Administration · Nursing · Medical · Management,https://wuzzuf.net/jobs/p/q956d7aUn2W0-Dental-Clinic-Nurse---6th-of-october-Flow-dental-clinic-Giza-Egypt?o=1&l=sp&t=sj&a=nurse|search-v3|hpb
Dental Nurse,Dental clinic new cairo -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 10 Yrs of Exp · Medical/Healthcare · Dental · Assistant · dental assistant · Medical · Nurse · Administration · Admin,https://wuzzuf.net/jobs/p/BXCQwvdXWnlR-Dental-Nurse-Dental-clinic-new-cairo-Cairo-Egypt?o=2&l=sp&t=sj&a=nurse|search-v3|hpb
Advanced Nurse Practitioner,Medical Merits -,"Birmingham, United Kingdom ",Full TimeExperienced · 3 - 5 Yrs of Exp · Medical/Healthcare · NMC · Masters · Independent prescriber,https://wuzzuf.net/jobs/p/6HPAADJMIDJl-Advanced-Nurse-Practitioner-Medical-Merits-Birmingham-United-Kingdom?o=3&l=sp&t=sj&a=nurse|search-v3|hpb
ICU Head Nurse,Andalusia Group -,"Mahta Alraml, Alexandria, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Medical/Healthcare · Medical · healthcare · Nursing · icu · Healthcare · Nurse,https://wuzzuf.net/jobs/p/hNphSnxSMS10-ICU-Head-Nurse-Andalusia-Group-Alexandria-Egypt?o=4&l=sp&t=sj&a=nurse|search-v3|hpb
Nurse,Matrix Sports Club -,"Tanta, Gharbia, Egypt ",Part TimeEntry Level · 1 - 3 Yrs of Exp · Medical/Healthcare · Medical · Nursing,https://wuzzuf.net/jobs/p/Gwa1orGm3B1U-Nurse-Matrix-Sports-Club-Gharbia-Egypt?o=5&l=sp&t=sj&a=nurse|search-v3|hpb
Nurse,Shiny White Dental Center  -,"Cairo, Egypt ",Full TimeEntry Level · Medical/Healthcare · Nursery · Nurse · Health Care · Medical · Infection Control Diploma · Nurse Practitioner License,https://wuzzuf.net/jobs/p/6APcfZBbdAEi-Nurse-Shiny-White-Dental-Center-Cairo-Egypt?o=6&l=sp&t=sj&a=nurse|search-v3|hpb
Nurse,ZO Skin Health -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · females_only · Medical/Healthcare · Healthcare · Medical · Nurse · Nursing,https://wuzzuf.net/jobs/p/NuUbZh8SLblb-Nurse-ZO-Skin-Health-Cairo-Egypt?o=7&l=sp&t=sj&a=nurse|search-v3|hpb
Operations Nursing Supervisor,25January Hospital Foundation -,"Hihya, Sharqia, Egypt ",Full TimeManager · 1 - 3 Yrs of Exp · Operations/Management · Medical/Healthcare · Medical · Nursing · Healthcare. · Supervision,https://wuzzuf.net/jobs/p/UUpEUEzpvtzv-Operations-Nursing-Supervisor-25January-Hospital-Foundation-Sharqia-Egypt?o=8&l=sp&t=sj&a=nurse|search-v3|hpb
Medical-Surgical Nurse,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Medical/Healthcare · Nurse · Nursing · surgical · Medical · Healthcare,https://wuzzuf.net/jobs/p/qy6hMsDf1bvK-Medical-Surgical-Nurse-Cairo-Egypt?o=9&l=sp&t=sj&a=nurse|search-v3|hpb
Hair Transplant Technician,Nour Clinic -,"Giza, Egypt ",Full TimePart TimeShift BasedEntry Level · Medical/Healthcare · nurse · Nurse · Nursing,https://wuzzuf.net/jobs/p/XAUtIUjjCjUB-Hair-Transplant-Technician-Nour-Clinic-Giza-Egypt?o=10&l=sp&t=sj&a=nurse|search-v3|hpb
Medical Quality Section Head - Data Management,Andalusia Maadi Hospital  -,"Cairo, Egypt ",Full TimeManager · 3+ Yrs of Exp · Medical/Healthcare · Quality · Pharmaceutical · Quality Management · Healthcare · quality · TQM · MEDICINE · Pharmacy · Dentistry,https://wuzzuf.net/jobs/p/GwRI5cbfVGaF-Medical-Quality-Section-Head---Data-Management-Andalusia-Maadi-Hospital-Cairo-Egypt?o=11&l=sp&t=sj&a=nurse|search-v3|hpb
Nurse,Midea Group -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Medical/Healthcare · Healthcare · Nurse · Nursing · Medical,https://wuzzuf.net/jobs/p/hMpPKm4WcYWa-Nurse-Midea-Group-Giza-Egypt?o=12&l=sp&t=sj&a=nurse|search-v3|hpb
Dental Nurse,Andalusia Maadi Hospital  -,"Jeddah, Saudi Arabia ",Full TimeEntry Level · 1+ Yrs of Exp · Medical/Healthcare · Medical · Dental · Nurse · Nursing · Admin,https://wuzzuf.net/jobs/p/8Oaf3jUy3leo-Dental-Nurse-Andalusia-Maadi-Hospital-Jeddah-Saudi-Arabia?o=13&l=sp&t=sj&a=nurse|search-v3|hpb
Assembly Quality Supervisor (Female),Q Medical Co. -,"Badr City, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · females_only · Manufacturing/Production · Quality · Agriculture · Nursing · Quality Control · Engineering · English · quality · Quality Assurance · Computer Skills,https://wuzzuf.net/jobs/p/8s8yWkbAn1kY-Assembly-Quality-Supervisor-Female-Q-Medical-Co-Cairo-Egypt?o=14&l=sp&t=sj&a=nurse|search-v3|hpb
Doctor's Assistant,Zina clinic -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Medical/Healthcare · Nurse · Medical · Healthcare,https://wuzzuf.net/jobs/p/puHOh1TeWB9M-Doctors-Assistant-Zina-clinic-Cairo-Egypt?o=15&l=sp&t=sj&a=nurse|search-v3|hpb
Regional Quality Manager - Alexandria,Andalusia Group -,"Alexandria, Egypt ",Full TimeSenior Management · 5 - 7 Yrs of Exp · Operations/Management · Medical/Healthcare · Quality · Medical · Health · quality · Pharmacy · Management · Engineering · English,https://wuzzuf.net/jobs/p/tSujeNYrnu9o-Regional-Quality-Manager---Alexandria-Andalusia-Group-Alexandria-Egypt?o=16&l=sp&t=sj&a=nurse|search-v3|hpb
Medical Representative,STIO Life Science -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Sales/Retail · Pharmaceutical · Medical · Medical representative · Pharmacy · Representative · sales skills · Sales · all egypt,https://wuzzuf.net/jobs/p/yJFEnbt4bbZB-Medical-Representative-STIO-Life-Science-Cairo-Egypt?o=17&l=sp&t=sj&a=nurse|search-v3|hpb
Sales Supervisor,STIO Life Science -,"Cairo, Egypt ",Full TimeManager · 3 - 5 Yrs of Exp · Operations/Management · Sales/Retail · Sales Supervisor · Sales · Sales Target · Supervisor · Pharmaceutical · all egypt,https://wuzzuf.net/jobs/p/3M1ura3Xlt02-Sales-Supervisor-STIO-Life-Science-Cairo-Egypt?o=18&l=sp&t=sj&a=nurse|search-v3|hpb
Senior Medical Quality Specialist,Andalusia Maadi Hospital  -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Medical/Healthcare · Quality · senior quality · quality managment · medical · Pharmacy,https://wuzzuf.net/jobs/p/CIBPrPluvMkB-Senior-Medical-Quality-Specialist-Andalusia-Maadi-Hospital-Cairo-Egypt?o=19&l=sp&t=sj&a=nurse|search-v3|hpb
Patient Experience Specialist,Andalusia Group -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · Medical/Healthcare · Pharmaceutical · Education/Teaching · Communication · Communication skills · Education · Pharmacy · Physical Education · Dentistry · Physical Medicine,https://wuzzuf.net/jobs/p/dB0QzUhUsGq2-Patient-Experience-Specialist-Andalusia-Group-Cairo-Egypt?o=20&l=sp&t=sj&a=nurse|search-v3|hpb
Pharmacist - (Buy& Bill),Defy Egypt  -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Pharmaceutical · Financial Accounting · Finance · Financial Reporting · Financial Analysis · Financial Management · Pharmaceutical · English · Medical · Microsoft Office,https://wuzzuf.net/jobs/p/524R5C8wUYBm-Pharmacist---Buy-Bill-Defy-Egypt-Giza-Egypt?o=21&l=sp&t=sj&a=nurse|search-v3|hpb
OPD Coordinator,Andalusia Group -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Administration · Medical/Healthcare · Pharmaceutical · Healthcare · Medical · Pharmaceutical · Pharmacy · Administration,https://wuzzuf.net/jobs/p/f24aqsyd04AL-OPD-Coordinator-Andalusia-Group-Cairo-Egypt?o=22&l=sp&t=sj&a=nurse|search-v3|hpb
Low Current Presales Engineer,Al Dawlia for Electronics  -,"Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Engineering - Telecom/Technology · CCTV · Electrical Engineering · Engineering · Low Current · Security,https://wuzzuf.net/jobs/p/KRv2CiPH1EWw-Low-Current-Presales-Engineer-Al-Dawlia-for-Electronics-Cairo-Egypt?o=23&l=sp&t=sj&a=nurse|search-v3|hpb
