job title,company name,location,skills,links
Automation Test Engineer (Python),Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Python · Automation Testing · Automation · Computer Science · English · Information Technology (IT),https://wuzzuf.net/jobs/p/0hobAOFZd3P7-Automation-Test-Engineer-Python-Sceel-io-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python · Technical Support,https://wuzzuf.net/jobs/p/DwrB49VUiLzT-Python-Developer-Andela-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Docker · AWS · Django · React.js · Angular · Software Development,https://wuzzuf.net/jobs/p/ItXgcrG6BIJb-Python-Developer-FlairsTech-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Software QA/Automation Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance · Python · Software,https://wuzzuf.net/jobs/p/N85XWmtIQKXF-Software-QAAutomation-Engineer-Python-FlairsTech-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Anspire Agency -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · API · Computer Science · Database · Cloud · Information Technology (IT) · OpenERP · PostgreSQL,https://wuzzuf.net/jobs/p/K2CdXSbbloh8-Python-Developer-Anspire-Agency-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Senior Quality Automation Engineer [Python],FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance · IT · Python,https://wuzzuf.net/jobs/p/oEVyeZLP74Kw-Senior-Quality-Automation-Engineer-Python-FlairsTech-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Agile · Information Technology (IT) · JavaScript · MySQL · Software Development · Startup · Computer Science,https://wuzzuf.net/jobs/p/MXDCoyyIgDMW-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Developer (Python),Dafater -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Git · HTML · Information Technology (IT) · jQuery · MySQL,https://wuzzuf.net/jobs/p/yA0vlccHlpwk-Senior-Backend-Developer-Python-Dafater-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Bash · Linux · PowerShell · Python · qemu · terraform · ansible,https://wuzzuf.net/jobs/p/bQD0rsJgHYLu-Python-Developer---Focused-on-Cloud-Automation-GIG-Tech-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Engineer,Brainology -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · Engineering · Software Development,https://wuzzuf.net/jobs/p/uvNTgDcNiG94-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AWS · SQL · backend · Cloud · TDD · APIs · Computer Science,https://wuzzuf.net/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Software Engineer (Python),Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Python · PHP · MySQL · JavaScript · JSON · Information Technology (IT) · HTML,https://wuzzuf.net/jobs/p/bxNaLimAkmF8-Software-Engineer-Python-Paymob-Solutions-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · RESTful APIs · Software Testing · Development · English · Information Technology (IT) · Framework · ORM,https://wuzzuf.net/jobs/p/BQMnq7CzEgv1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
job title,company name,location,skills,links
Python Django Developer,Support Legal -,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Django · Python · Software Development · PostgreSQL · Computer Science · Engineering · Git,https://wuzzuf.net/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=16&l=sp&t=sj&a=python|search-v3|hpb
Java/Python Developer,Nabd -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Python · Information Technology (IT) · Software Development · Software · IT · Communication skills · Computer Science,https://wuzzuf.net/jobs/p/lXUto1XGcCgE-JavaPython-Developer-Nabd-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,https://wuzzuf.net/jobs/p/UKNVnOsS4BfJ-Senior-Python-Linux-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb
