job title,company name,location,skills,links
,,,,
Call Center Agent (Restaurant-Order taker),Confidential -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Call Center · Communication · Customer Care · Service · Communication skills · Customer · Customer Service · Customer Support,https://wuzzuf.net/jobs/p/wgfdpwqJJslN-Call-Center-Agent-Restaurant-Order-taker-Cairo-Egypt?o=1&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Restaurant Manager,Taco Ring -,"Nasr City, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Branch Manager · Branch Management · restaurant · Hospitality · Restaurant Manager · Manager · Food Services · Cooking,https://wuzzuf.net/jobs/p/LCFdVK1I1bQe-Restaurant-Manager-Taco-Ring-Cairo-Egypt?o=2&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Pastry Chef (Restaurant Chain) - Cairo Festival City CFC,Pillars -,"Cairo, Egypt ",Full TimeExperienced · 8+ Yrs of Exp · Hospitality/Hotels/Food Services · Chef · Food · Hospitality · Pastry · Hotels,https://wuzzuf.net/jobs/p/s5h2tnVRtHmR-Pastry-Chef-Restaurant-Chain---Cairo-Festival-City-CFC-Pillars-Cairo-Egypt?o=3&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Restaurant Assistant Manager,Happy Joe's Pizza & Ice Cream - Middle East -,"Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Administration · Hospitality/Hotels/Food Services · Operations/Management · Restaurant Management · Administration · Hospitality,https://wuzzuf.net/jobs/p/BlW5omo8n6kG-Restaurant-Assistant-Manager-Happy-Joes-Pizza-Ice-Cream---Middle-East-Giza-Egypt?o=4&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Front line ( restaurant ),Section-F -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Hospitality/Hotels/Food Services · Customer Service · Customer Care,https://wuzzuf.net/jobs/p/Vg8xlf3jFL16-Front-line-restaurant-Section-F-Giza-Egypt?o=5&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Restaurant Manager (Fast Food),Confidential -,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · restaurant · Management · Fast food · Quality Assurance · Food · Hotels,https://wuzzuf.net/jobs/p/ZHkpa9PoZGg8-Restaurant-Manager-Fast-Food-Cairo-Egypt?o=6&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Restaurant Manager,Happy Joe's Pizza & Ice Cream - Middle East -,"Giza, Egypt ",Full TimeManager · 2+ Yrs of Exp · Operations/Management · restaurant · Management,https://wuzzuf.net/jobs/p/2jcaQKvknrC7-Restaurant-Manager-Happy-Joes-Pizza-Ice-Cream---Middle-East-Giza-Egypt?o=7&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Restaurant Manager,Dcgrills -,"Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · restaurant · Management · Restaurant Manager · Restaurants · Manager · Hospitality · Fast food · Food,https://wuzzuf.net/jobs/p/y2TKP3iSiDYb-Restaurant-Manager-Dcgrills-Cairo-Egypt?o=8&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Branch Manager,JOES -,"New Cairo, Cairo, Egypt ",Full TimeManager · 3 - 6 Yrs of Exp · Customer Service/Support · Hospitality/Hotels/Food Services · Operations/Management · Leadership · Management · Store Management · Administration · Business Administration · Customer Service · Retail,https://wuzzuf.net/jobs/p/cUkriaR2dPuC-Branch-Manager-JOES-Cairo-Egypt?o=9&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
