job title,company name,location,skills,links
Secretary,Projecs International -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Administration · administrative assistant · Administration · Communication skills · Communication · Office management · Secretary · administrative · Assistant,https://wuzzuf.net/jobs/p/eYUcJCo5jxbO-Secretary-Projecs-International-Giza-Egypt?o=1&l=sp&t=sj&a=secretary|search-v3|hpb
Executive Secretary / Personal Assistant,AZLink Logistics Solutions Corp -,"New Nozha, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · Administration · Communication · Administration · Microsoft Office · Office management · Secretarial · Secretary · Microsoft · Skills · English,https://wuzzuf.net/jobs/p/3iYi7qij3l4Z-Executive-Secretary-Personal-Assistant-AZLink-Logistics-Solutions-Corp-Cairo-Egypt?o=2&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary,Dafa -,"Haram, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · English · Microsoft Office · Secretary · Office management · Administration,https://wuzzuf.net/jobs/p/IKJR84LPyh05-Secretary-Dafa-Giza-Egypt?o=3&l=sp&t=sj&a=secretary|search-v3|hpb
Sales Coordinator - Secretary,Bescletta -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · females_only · Administration · Secretary · Administration · English · MS Offiice · Office Management · Sales Administration,https://wuzzuf.net/jobs/p/LSrqbXQaV9PR-Sales-Coordinator---Secretary-Bescletta-Cairo-Egypt?o=4&l=sp&t=sj&a=secretary|search-v3|hpb
Executive Secretary,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Administration · administrative · Communication · English · Executive Secretary · Office management · Secretary · Accounting · Business Administration · Administration,https://wuzzuf.net/jobs/p/PZnpsuSapK22-Executive-Secretary-BBI-Consultancy-Cairo-Egypt?o=5&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary,Confidential -,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Administration · Customer Service · English · Secretary · Office management · Administration,https://wuzzuf.net/jobs/p/QdkLpVxjoE6P-Secretary-Giza-Egypt?o=6&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary/Receptionist,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · females_only · Administration · Customer Service/Support · Secretary · Communication Skills · Administration · Office · Management · English · Microsoft Office · Office Management,https://wuzzuf.net/jobs/p/i1z1gFj5JMtX-SecretaryReceptionist-Perfect-Presentation-Giza-Egypt?o=7&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary,Gemstones Dentistry -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Administration · Administration · Secretary · Admin · Office management,https://wuzzuf.net/jobs/p/E2fc2gkkONSm-Secretary-Gemstones-Dentistry-Giza-Egypt?o=8&l=sp&t=sj&a=secretary|search-v3|hpb
Executive Secretary,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · females_only · Administration · Admin · Administration · Office Management · Microsoft Office · Secretary · Management · Communication skills · Computer Skills · English,https://wuzzuf.net/jobs/p/T1zPQXuIekVa-Executive-Secretary-Cairo-Egypt?o=9&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary,Lavita Real Estate -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · females_only · Administration · Administration · Secretary · Microsoft Office · Office management,https://wuzzuf.net/jobs/p/pTSfcgLPbPHS-Secretary-Lavita-Real-Estate-Cairo-Egypt?o=10&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary,CPAS -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Administration · Secretary · Office Management · Administrative · Microsoft Office · English · MS Office · Typing · Office,https://wuzzuf.net/jobs/p/XLIhmCDoQPMc-Secretary-CPAS-Cairo-Egypt?o=11&l=sp&t=sj&a=secretary|search-v3|hpb
Secretary - Receptionist,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · females_only · Administration · Customer Service/Support · Administration · Communication skills · Microsoft Office · Secretary · Business English · Communication · MS Office · Office management,https://wuzzuf.net/jobs/p/EbcJLHqOy4MT-Secretary---Receptionist-Giza-Egypt?o=12&l=sp&t=sj&a=secretary|search-v3|hpb
Executive Secretary,Confidential -,"Smouha, Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Administration · Administration · Office Manager · Admin Assistant · Microsoft Office · Customer Service · Customer Support · Data Entry · ERP · administrative,https://wuzzuf.net/jobs/p/vB6TlzciyaGj-Executive-Secretary-Alexandria-Egypt?o=13&l=sp&t=sj&a=secretary|search-v3|hpb
Administrative Secretary,Remax Almohager -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Administration · Office management · Microsoft Office · Real Estate · English · Secretary,https://wuzzuf.net/jobs/p/FUTmdLj8zpul-Administrative-Secretary-Remax-Almohager-Cairo-Egypt?o=14&l=sp&t=sj&a=secretary|search-v3|hpb
Office Manager / Secretary,Soho Studio -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · Administration · Operations/Management · Office Management · Administration · English · Business Administration · Microsoft Office · Research · Accounting · Secretary,https://wuzzuf.net/jobs/p/cQSD8w3X8RMU-Office-Manager-Secretary-Soho-Studio-Giza-Egypt?o=15&l=sp&t=sj&a=secretary|search-v3|hpb
Clinic Secretary,Oro Clinics -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Administration · Customer Service/Support · receptionist · Secretary · Clinic Management · Office management · Customer Service,https://wuzzuf.net/jobs/p/aQ3aG65YUDAC-Clinic-Secretary-Oro-Clinics-Cairo-Egypt?o=16&l=sp&t=sj&a=secretary|search-v3|hpb
Executive Secretary CEO,Arab Security Group -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · Secretary · Administration · Microsoft Office · Communication Skills · Engish,https://wuzzuf.net/jobs/p/CugF4PLD4j9J-Executive-Secretary-CEO-Arab-Security-Group-Cairo-Egypt?o=17&l=sp&t=sj&a=secretary|search-v3|hpb
