job title,company name,location,skills,links
Cyber Security Engineer,axispay -,"Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Cyber Security · Computer Science · Microsoft Office · Security · Python · SIEM,https://wuzzuf.net/jobs/p/ShLb9eeWHeoZ-Cyber-Security-Engineer-axispay-Cairo-Egypt?o=1&l=sp&t=sj&a=security|search-v3|hpb
Security Engineer,Rashideen Egypt for Trade  -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cisco · CCNA · Computer Science · Information Technology (IT) · networks · Security · Routing,https://wuzzuf.net/jobs/p/Q5F4x0NfsExo-Security-Engineer-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=2&l=sp&t=sj&a=security|search-v3|hpb
Network Security Engineer,Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cisco · Computer Science · Engineering · Information Technology (IT) · Network Security · Networking · Security,https://wuzzuf.net/jobs/p/fx2YyYgodThV-Network-Security-Engineer-Riyadh-Saudi-Arabia?o=3&l=sp&t=sj&a=security|search-v3|hpb
Computer Security Specialist,Concrete For Readymade Garments -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · CISSP · computer · Computer Skills · network · Security · Science,https://wuzzuf.net/jobs/p/LcmCI1Vi9Tru-Computer-Security-Specialist-Concrete-For-Readymade-Garments-Giza-Egypt?o=4&l=sp&t=sj&a=security|search-v3|hpb
Security Engineer- Pentester- Mobile (iOS & Andriod),Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · firewalls · Hacking · Information Technology (IT) · Maintenance · Java,https://wuzzuf.net/jobs/p/yN1yTZJOe6cf-Security-Engineer--Pentester--Mobile-iOS-Andriod-Fixed-Solutions-Cairo-Egypt?o=5&l=sp&t=sj&a=security|search-v3|hpb
Information Security Officer ISO, Si-Vision -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Security · English · Engineering · Information Technology (IT) · ISO · ISO 27001,https://wuzzuf.net/jobs/p/t1AcIEMQdCZF-Information-Security-Officer-ISO-Si-Vision-Cairo-Egypt?o=6&l=sp&t=sj&a=security|search-v3|hpb
Project Manager – Security Systems,CompuGeorge -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Project/Program Management · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Access Control · CCTV · Electrical Engineering · Electronics · Engineering · Project Management · Security Systems,https://wuzzuf.net/jobs/p/lRxti2JNJZ1v-Project-Manager-–-Security-Systems-CompuGeorge-Giza-Egypt?o=7&l=sp&t=sj&a=security|search-v3|hpb
Cyber Security Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Azure · Cyber Security · Information Technology (IT) · Security · Penetration Testing · cyber · English,https://wuzzuf.net/jobs/p/ZRk9KxQwvMvN-Cyber-Security-Analyst-Cairo-Egypt?o=8&l=sp&t=sj&a=security|search-v3|hpb
Information Security Specialist,B.TECH -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CISSP · Information Technology (IT) · PTP · Security · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/e9KJl2sgpCuN-Information-Security-Specialist-B-TECH-Cairo-Egypt?o=9&l=sp&t=sj&a=security|search-v3|hpb
Sr Pre Sales Security Engineer,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CCTV · Security · Low Current · Information Technology (IT) · IP · Sales · Sales Skills · Sales Target,https://wuzzuf.net/jobs/p/nlrJwbnaFU83-Sr-Pre-Sales-Security-Engineer-Cairo-Egypt?o=10&l=sp&t=sj&a=security|search-v3|hpb
Information Security Senior Specialist,Xceed -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Security · Information Technology (IT) · IT · Computer Engineering · Business Continuity Management · Computer Science · CBCP · CISA,https://wuzzuf.net/jobs/p/U0npu9CSA5lr-Information-Security-Senior-Specialist-Xceed-Cairo-Egypt?o=11&l=sp&t=sj&a=security|search-v3|hpb
Installation & Maintenance Sr. Engineer - Security systems,CompuGeorge -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Electrical · Electrical Engineering · CCTV · Engineering · Installation · Maintenance · Security Systems,https://wuzzuf.net/jobs/p/2MM3d4ntvDDY-Installation-Maintenance-Sr-Engineer---Security-systems-CompuGeorge-Giza-Egypt?o=12&l=sp&t=sj&a=security|search-v3|hpb
Security Team Leader,Hyde Park  -,"New Cairo, Cairo, Egypt ",Full TimeManager · 3 - 6 Yrs of Exp · Operations/Management · Security · Administration · Real Estate,https://wuzzuf.net/jobs/p/TKGqkJVFketh-Security-Team-Leader-Hyde-Park-Cairo-Egypt?o=13&l=sp&t=sj&a=security|search-v3|hpb
General Manager for a Security Systems Company,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeSenior Management · 15 - 20 Yrs of Exp · Installation/Maintenance/Repair · C-Level Executive/GM/Director · Engineering - Telecom/Technology · Access Control · IP CCTV · CCTV · AXIS · Lenel Systems · Management · Engineering,https://wuzzuf.net/jobs/p/MibMHJwmN1er-General-Manager-for-a-Security-Systems-Company-Giza-Egypt?o=14&l=sp&t=sj&a=security|search-v3|hpb
Senior Presales Engineer Security Systems,CompuGeorge -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Sales/Retail · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Design · Engineering · Electronics · Security Systems · CCTV System · Access Control · Intrusion Prevention System (IPS),https://wuzzuf.net/jobs/p/z2swuUr3cVII-Senior-Presales-Engineer-Security-Systems-CompuGeorge-Giza-Egypt?o=15&l=sp&t=sj&a=security|search-v3|hpb
Senior Security Engineer,ZINAD IT -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Security · IT · Network Security · Engineering · Information Technology (IT) · Software · Software Development · Testing,https://wuzzuf.net/jobs/p/8021mZTUev0X-Senior-Security-Engineer-ZINAD-IT-Cairo-Egypt?o=16&l=sp&t=sj&a=security|search-v3|hpb
Jr Pre Sales Security Engineer,Confidential -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · CCTV · Electrical · Low Current · IP · Sales · Sales Skills · Sales Target,https://wuzzuf.net/jobs/p/MlyaxTewmx39-Jr-Pre-Sales-Security-Engineer-Cairo-Egypt?o=17&l=sp&t=sj&a=security|search-v3|hpb
