job title,company name,location,skills,links
Senior C++ Software Engineer,Viavi Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · Software Development · Software Engineering · Software · Computer Science · Engineering · Development · Linux,https://wuzzuf.net/jobs/p/aKPOGrU3ay9U-Senior-C-Software-Engineer-Viavi-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Quality Control Engineer,Neom Tech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Testing · Software Testing · Computer Engineering · QC,https://wuzzuf.net/jobs/p/3SmHyrLOHRlm-Senior-Software-Quality-Control-Engineer-Neom-Tech-Cairo-Egypt?o=2&l=sp&t=sj&a=software engineer|search-v3|hpb
QA Engineer / Software Tester,Caelum Egypt -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · QA Engineering · Software Testing · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/REWdjh4iRGo4-QA-Engineer-Software-Tester-Caelum-Egypt-Giza-Egypt?o=3&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Test Engineer,SAED -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Test Engineer · Software Engineering · Software Development · Automation · Automation Testing · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/mS1ZQV1lC3J9-Software-Test-Engineer-SAED-Cairo-Egypt?o=4&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Quality Control Engineer,PaySky -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Computer Science · Engineering · English · Quality Assurance · Quality Control · Scrum,https://wuzzuf.net/jobs/p/S6PyKAv0zCT7-Software-Quality-Control-Engineer-PaySky-Cairo-Egypt?o=5&l=sp&t=sj&a=software engineer|search-v3|hpb
Software QC Engineer (Test Automation),axispay -,"Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Engineering · English · Quality Assurance · Quality Control · Scrum · Software,https://wuzzuf.net/jobs/p/BeV9G8hvvwgl-Software-QC-Engineer-Test-Automation-axispay-Cairo-Egypt?o=6&l=sp&t=sj&a=software engineer|search-v3|hpb
Junior Software Engineer,Lirten -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineering · Software Development · Software · React · Testing · Information Technology (IT) · Computer Science · Agile,https://wuzzuf.net/jobs/p/QPnGeDO6c8gP-Junior-Software-Engineer-Lirten-Cairo-Egypt?o=7&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Testing Engineer,Kalasko -,"Hurghada, Red Sea, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Selenium · cypress.io · Apache · Appium · Agile · Information Technology (IT),https://wuzzuf.net/jobs/p/cktAblZlDifL-Software-Testing-Engineer-Kalasko-Red-Sea-Egypt?o=8&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Embedded Software Engineer,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Embedded Software · Electrical Engineering · Computer Science · Information Technology (IT) · Communication skills · Engineering · English,https://wuzzuf.net/jobs/p/AmNgNULQ6OCb-Senior-Embedded-Software-Engineer-Samaya-Electronics-Egypt-LTD-Cairo-Egypt?o=9&l=sp&t=sj&a=software engineer|search-v3|hpb
