job title,company name,location,skills,links
,,,,
Software Quality Control Engineer,PaySky -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Computer Science · Engineering · English · Quality Assurance · Quality Control · Scrum,https://wuzzuf.net/jobs/p/S6PyKAv0zCT7-Software-Quality-Control-Engineer-PaySky-Cairo-Egypt?o=1&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software QC Engineer (Test Automation),axispay -,"Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Engineering · English · Quality Assurance · Quality Control · Scrum · Software,https://wuzzuf.net/jobs/p/BeV9G8hvvwgl-Software-QC-Engineer-Test-Automation-axispay-Cairo-Egypt?o=2&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software System Architect,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Architecture · AWS · Computer Engineering · Computer Science · Development · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/xky29vkiylBw-Software-System-Architect-FlairsTech-Cairo-Egypt?o=3&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software Tester,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Data Warehouse · Data Warehousing · Agile · Quality Control · Software Testing · Quality Assurance · quality,https://wuzzuf.net/jobs/p/cqJwHOfdw8Dl-Software-Tester-Cairo-Egypt?o=4&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software Tester,Reach -,"New Cairo, Cairo, Egypt ",Part TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Bugs · Computer Science · Development · Information Technology (IT) · Quality Control · Software · Software Development,https://wuzzuf.net/jobs/p/7ETx0P71OGPd-Software-Tester-Reach-Cairo-Egypt?o=5&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software Architect,Icity -,"Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Development · Software Development · Software · Information Technology (IT),https://wuzzuf.net/jobs/p/XWGgeicMfJ7g-Software-Architect-Icity-Cairo-Egypt?o=6&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Java Software Development Engineer (Multinational),Pillars -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java Software Development · SQL · jQuery · CSS · DFX · Software Development,https://wuzzuf.net/jobs/p/3LiTQ4jJdkVg-Java-Software-Development-Engineer-Multinational-Pillars-Cairo-Egypt?o=7&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software Developer,Premier Services and Recruitment -,"Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Software Engineering · Computer Science · JavaScript · SQL,https://wuzzuf.net/jobs/p/vgDUbQMPDkCt-Software-Developer-Premier-Services-and-Recruitment-Giza-Egypt?o=8&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Commercial Manager - Software Background,Excel Systems   -,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 8 - 12 Yrs of Exp · Business Development · IT/Software Development · Sales/Retail · Commercial · Sales · Management · Skills · Communication skills · sales skills · English,https://wuzzuf.net/jobs/p/a8XuYpfVajlw-Commercial-Manager---Software-Background-Excel-Systems-Giza-Egypt?o=9&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Software Developer,Cairo University Faculty of Engineering -,"Dokki, Giza, Egypt ",Full TimeWork From HomeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Software Engineering · Computer Science · Information Technology (IT) · Full Stack · Programming · SQL · .NET,https://wuzzuf.net/jobs/p/bMR30TP0CvKu-Software-Developer-Cairo-University-Faculty-of-Engineering-Giza-Egypt?o=10&l=sp&t=sj&a=software|search-v3|hpb
,,,,
Senior Embedded Software Engineer,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Embedded Software · Electrical Engineering · Computer Science · Information Technology (IT) · Communication skills · Engineering · English,https://wuzzuf.net/jobs/p/AmNgNULQ6OCb-Senior-Embedded-Software-Engineer-Samaya-Electronics-Egypt-LTD-Cairo-Egypt?o=11&l=sp&t=sj&a=software|search-v3|hpb
,,,,
PHP Software Engineering Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/sRdxeLSBGPVW-PHP-Software-Engineering-Manager-Cairo-Egypt?o=12&l=sp&t=sj&a=software|search-v3|hpb
,,,,
PHP Software Engineering Lead,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/PHnd0uZm9FIC-PHP-Software-Engineering-Lead-Cairo-Egypt?o=13&l=sp&t=sj&a=software|search-v3|hpb
,,,,
