job title,company name,location,skills,links
Mathematics Teacher - 10th of Ramadan City,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Math · Education · SAT · Core State Standards · Mathematics · Teacher · Teaching · American diploma · Computer Skills,https://wuzzuf.net/jobs/p/NQSDfh5tdlK8-Mathematics-Teacher---10th-of-Ramadan-City-El-Massria-Integrated-Schools-Sharqia-Egypt?o=1&l=sp&t=sj&a=teacher|search-v3|hpb
Co-Teacher,Malvern College Egypt -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Education/Teaching · Co-teacher · Education · English · learning · Teaching,https://wuzzuf.net/jobs/p/9Vr7j1maJDKc-Co-Teacher-Malvern-College-Egypt-Cairo-Egypt?o=2&l=sp&t=sj&a=teacher|search-v3|hpb
Physics Teacher,Tyro -,"Cairo, Egypt ",Freelance / ProjectWork From HomeExperienced · 1+ Yrs of Exp · Education/Teaching · Teaching · Online Learning · Online Teaching · Physics Teaching · Physics · teacher · Schools,https://wuzzuf.net/jobs/p/Q0ti5fXJRveM-Physics-Teacher-Tyro-Cairo-Egypt?o=3&l=sp&t=sj&a=teacher|search-v3|hpb
Biology Teacher,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · biology · Education · Biology · School · High school · Teacher · Teaching,https://wuzzuf.net/jobs/p/uVDo1kuZIFEE-Biology-Teacher-Liwa-Education-Al-Ain-United-Arab-Emirates?o=4&l=sp&t=sj&a=teacher|search-v3|hpb
Physics Teacher,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · R&D/Science · Education/Teaching · Teaching · Physics · Education · School · Teacher,https://wuzzuf.net/jobs/p/stJYjoT2PLZA-Physics-Teacher-Liwa-Education-Al-Ain-United-Arab-Emirates?o=5&l=sp&t=sj&a=teacher|search-v3|hpb
Chemistry Teacher,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · R&D/Science · Education/Teaching · Chemistry · Education · Teacher · Teaching,https://wuzzuf.net/jobs/p/LPvo4chHxduf-Chemistry-Teacher-Liwa-Education-Al-Ain-United-Arab-Emirates?o=6&l=sp&t=sj&a=teacher|search-v3|hpb
Arabic Teacher - Middle & Secondary Stage,"British International School, Cairo -","Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Training/Instructor · Arabic · Arabic Teaching · Education · Teacher · Teaching · GCSE · IGCSE · IB,https://wuzzuf.net/jobs/p/HWlivDCGpy76-Arabic-Teacher---Middle-Secondary-Stage-British-International-School-Cairo-Giza-Egypt?o=7&l=sp&t=sj&a=teacher|search-v3|hpb
Arabic Teacher - Primary Stage,"British International School, Cairo -","Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Training/Instructor · Arabic · Arabic Teaching · Education · Teacher · Teaching,https://wuzzuf.net/jobs/p/GcE1Lrp7H3Th-Arabic-Teacher---Primary-Stage-British-International-School-Cairo-Giza-Egypt?o=8&l=sp&t=sj&a=teacher|search-v3|hpb
Art Teacher,Rizkallah Art Foundation -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · females_only · Creative/Design/Art · Education/Teaching · Teacher · Art · Design · Creative · Fine Arts · Applied Arts · Child Education · Education,https://wuzzuf.net/jobs/p/zK7j8PUKjFJ6-Art-Teacher-Rizkallah-Art-Foundation-Cairo-Egypt?o=9&l=sp&t=sj&a=teacher|search-v3|hpb
Native Homeroom Teacher - Year 1,British Modern School -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · Homeroom · Teaching · Class Management · UK Cambridge Curriculum · Mathematics · English Teaching · English · International Schools,https://wuzzuf.net/jobs/p/UHTZt0pLpzvJ-Native-Homeroom-Teacher---Year-1-British-Modern-School-Cairo-Egypt?o=10&l=sp&t=sj&a=teacher|search-v3|hpb
