job title,company name,location,skills,links
Teaching Assistant (British Curriculum Experience),GEMS Education -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Teaching · Mathematics · Math · Education · Learning · British Curriculum · English,https://wuzzuf.net/jobs/p/XuL7bbXQCqAR-Teaching-Assistant-British-Curriculum-Experience-GEMS-Education-Cairo-Egypt?o=1&l=sp&t=sj&a=teaching|search-v3|hpb
Teaching Assistant,Confidential -,"Al Ahmadi, Kuwait ",Full TimeExperienced · 3+ Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Education/Teaching · Engineering · Teaching · Education · Civil Engineering · Mechanical Engineering · Communication skills · Assistant,https://wuzzuf.net/jobs/p/4mMBko40Zeer-Teaching-Assistant-Al-Ahmadi-Kuwait?o=2&l=sp&t=sj&a=teaching|search-v3|hpb
German Instructor,Tyro -,"Cairo, Egypt ",Freelance / ProjectWork From HomeEntry Level · 1+ Yrs of Exp · females_only · Education/Teaching · Training/Instructor · Computer Skills · Communication skills · german · Instructor · Education · Teaching,https://wuzzuf.net/jobs/p/uLHI3QM6PITP-German-Instructor-Tyro-Cairo-Egypt?o=3&l=sp&t=sj&a=teaching|search-v3|hpb
Kids and Teens Instructor -Online,Berlitz Egypt -,"Rehab City, Cairo, Egypt ",Part TimeEntry Level · 0 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · Kids · Instructor · Teaching · English · Education,https://wuzzuf.net/jobs/p/G8WTE4hH6icf-Kids-and-Teens-Instructor--Online-Berlitz-Egypt-Cairo-Egypt?o=4&l=sp&t=sj&a=teaching|search-v3|hpb
English Instructor - Nasr City and Downtown,Berlitz Egypt -,"Nasr City, Cairo, Egypt ",Part TimeFreelance / ProjectShift BasedEntry Level · 0 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · English Language · Languages · Linguistics · Translation · Training · Teaching · Education · Communication Skills,https://wuzzuf.net/jobs/p/XNb6XlJzFsqu-English-Instructor---Nasr-City-and-Downtown-Berlitz-Egypt-Cairo-Egypt?o=5&l=sp&t=sj&a=teaching|search-v3|hpb
Native Homeroom Teacher - Year 1,British Modern School -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · Homeroom · Teaching · Class Management · UK Cambridge Curriculum · Mathematics · English Teaching · English · International Schools,https://wuzzuf.net/jobs/p/UHTZt0pLpzvJ-Native-Homeroom-Teacher---Year-1-British-Modern-School-Cairo-Egypt?o=6&l=sp&t=sj&a=teaching|search-v3|hpb
Physics Teacher,Tyro -,"Cairo, Egypt ",Freelance / ProjectWork From HomeExperienced · 1+ Yrs of Exp · Education/Teaching · Teaching · Online Learning · Online Teaching · Physics Teaching · Physics · teacher · Schools,https://wuzzuf.net/jobs/p/Q0ti5fXJRveM-Physics-Teacher-Tyro-Cairo-Egypt?o=7&l=sp&t=sj&a=teaching|search-v3|hpb
Art Teacher (2022-2023 Academic Year),Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Creative/Design/Art · Education/Teaching · Art · Education · Fine Arts · Teaching · English,https://wuzzuf.net/jobs/p/8S91kmhnDPQu-Art-Teacher-2022-2023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=8&l=sp&t=sj&a=teaching|search-v3|hpb
Science Teacher - Year 6 Checkpoint,Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · Education/Teaching · Curriculum · Teaching · Science · Education · English · Physics · Communication skills,https://wuzzuf.net/jobs/p/YiynYYQcvl88-Science-Teacher---Year-6-Checkpoint-Windrose-Academy-Cairo-Egypt?o=9&l=sp&t=sj&a=teaching|search-v3|hpb
Mathematics Teacher - KS2/KS3 (2022/2023 Academic Year),Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Cambridge Curriculum · Education · Teaching · Engineering · Mathematics · Microsoft Office · Math · Computer Skills · Smart Boards,https://wuzzuf.net/jobs/p/JOJ71EM5zftg-Mathematics-Teacher---KS2KS3-20222023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=10&l=sp&t=sj&a=teaching|search-v3|hpb
