job title,company name,location,skills,links
,,,,
Amazon Web Services DevOps Engineer,Virtual Worker Now -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Computer Science · Information Technology (IT) · HTML · Java · JavaScript · AWS · Amazon Web Services DevOps Engineer,https://wuzzuf.net/jobs/p/gYYFxMd3waW0-Amazon-Web-Services-DevOps-Engineer-Virtual-Worker-Now-Cairo-Egypt?o=1&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior .Net Full Stack Web Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming · Computer Science · Angular · Engineering · Git · HTML5 · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/TQIczIwQ0Hn6-Senior-Net-Full-Stack-Web-Developer-Cairo-Egypt?o=2&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Designer,Confidential -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Web designer · Web Design · Web Development · Web · Designer · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/g51npqW8C3sb-Web-Designer-Cairo-Egypt?o=3&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior .Net Full Stack Web Developer On Site,Majisa -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MS SQL Server · Software Development · .Net · Agile · ASP.Net · Computer Science · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/UDstQo9aaOZp-Senior-Net-Full-Stack-Web-Developer-On-Site-Majisa-Cairo-Egypt?o=4&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Developer,EGYTORC -,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · PHP · Software Development · .Net · ASP.Net · Computer Science · CSS · HTML,https://wuzzuf.net/jobs/p/eyr38uUIFfqs-Web-Developer-EGYTORC-Giza-Egypt?o=5&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Developer,LavaLoon -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · WordPress · Information Technology (IT) · Software Development · Software Engineering · English · Computer Science · Configuration,https://wuzzuf.net/jobs/p/BR1asOhMsI15-Web-Developer-LavaLoon-Cairo-Egypt?o=6&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Web Developer (PHP - Open-Source),Flojics -,"Alexandria, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Git · Information Technology (IT) · Laravel · PHP · Software Development · React · MySQL · JavaScript,https://wuzzuf.net/jobs/p/oEq8iUyoT33x-Senior-Web-Developer-PHP---Open-Source-Flojics-Alexandria-Egypt?o=7&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Web.Net Developer,El-Amir Group -,"Nozha, Cairo, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Software Development · Crystal Reports · ASP.NET · VB.Net · Microsoft SQL Server · Information Technology (IT) · Computer Science · .NET,https://wuzzuf.net/jobs/p/WHlVXXOAuoxi-Senior-WebNet-Developer-El-Amir-Group-Cairo-Egypt?o=8&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Development Team Lead,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · javaScript · HTML5 · Gulp · Grunt · Wordpress · drupal · laravel,https://wuzzuf.net/jobs/p/rox1G9CihJyF-Web-Development-Team-Lead-Trufla-Cairo-Egypt?o=9&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Full Stack Web Developer - For Multinational,Popul8IT -,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · javaScript · English · Design · Programming · Web · Testing · UX,https://wuzzuf.net/jobs/p/uUqLVpMM3y6O-Full-Stack-Web-Developer---For-Multinational-Popul8IT-Cairo-Egypt?o=10&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Software Testing Engineer,DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Software Testing · Testing · quality · QA · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/21T1wFhIogn5-Software-Testing-Engineer-DIRAC-SYSTEMS-Cairo-Egypt?o=11&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior System Implementation Engineer,Fawry Banking & Payment Technology Services -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Financial Applications · Implementation Engineer · Product Engineer · XML · DBMS · SOAP-UI · Mobile applications,https://wuzzuf.net/jobs/p/OOTMi4amJfqe-Senior-System-Implementation-Engineer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=12&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Software Engineer / Team lead,Dalia -,"Cairo, Egypt ",Full TimeWork From HomeManager · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Software Engineering · javaScript · MVC · Full Stack · Computer Science · Information Technology (IT) · Software,https://wuzzuf.net/jobs/p/F0ubv1GVNtQF-Senior-Software-Engineer-Team-lead-Dalia-Cairo-Egypt?o=13&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Frontend Engineer,TurnDigital -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Web Development · Information Technology (IT) · jQuery · XML · JSON · Computer Science · SharePoint · Git Source Control,https://wuzzuf.net/jobs/p/zCYtryP8KzGU-Senior-Frontend-Engineer-TurnDigital-Cairo-Egypt?o=14&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
PHP Software Engineering Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/sRdxeLSBGPVW-PHP-Software-Engineering-Manager-Cairo-Egypt?o=15&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
job title,company name,location,skills,links
,,,,
PHP Software Engineering Lead,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/PHnd0uZm9FIC-PHP-Software-Engineering-Lead-Cairo-Egypt?o=16&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Java Full Stack Software Engineer,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · developer · Information Technology (IT) · Java · Java Developer · Software Development · Spring MVC · Hibernate,https://wuzzuf.net/jobs/p/OPRqIHYg0X5H-Java-Full-Stack-Software-Engineer-Cairo-Egypt?o=17&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Application Support Engineer,Fawry Banking & Payment Technology Services -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · SQL · Oracle · Application Servers · IBM · Websphere,https://wuzzuf.net/jobs/p/HC5Sz0ICfE2D-Senior-Application-Support-Engineer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=18&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Front End Engineer,LxT -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · JavaScript · React · Software Development · Web Development,https://wuzzuf.net/jobs/p/5fkaYSms3U4o-Senior-Front-End-Engineer-LxT-Giza-Egypt?o=19&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Full Stack Engineer - Alexandria,Caduceus Lane -,"San Stefano, Alexandria, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · PHP · Computer Science · Web Development · Full Stack · Information Technology (IT) · jQuery · Software Development,https://wuzzuf.net/jobs/p/7jVz8yBcNHq8-Senior-Full-Stack-Engineer---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=20&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
"Senior Automation Testing Engineer [Selenium, NUnit/JUnit, C#,Java]",FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Computer Science · Git · Information Technology (IT) · Java · QA · Scrum,https://wuzzuf.net/jobs/p/ephorT7dbSqF-Senior-Automation-Testing-Engineer-Selenium-NUnitJUnit-CJava-FlairsTech-Cairo-Egypt?o=21&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Developer,X War -,"Gharbia, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML · Information Technology (IT) · JavaScript · PHP · Programming · Software Development · Web Development,https://wuzzuf.net/jobs/p/mBobhBGmzDsT-Web-Developer-X-War-Gharbia-Egypt?o=22&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Junior Backend Engineer,LxT -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Programming · Azure · GCP · Amazon Web Services · Agile,https://wuzzuf.net/jobs/p/G7dIVlXGgyzB-Junior-Backend-Engineer-LxT-Giza-Egypt?o=23&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
